,PaperTitle,Year,Journal,FirstAuthorName,FirstAuthorCountry,CountryDataCollected,SamplePrimaryCountryofOrigin,Ethnicity,SampleSize,SampleAgeMean,SampleAgeSD,SampleOtherDescription,SampleMusicianshipDescription,SamplingMethodDescription,FemaleParticipantsNumber,MaleParticipantsNumber,MeanYearsEducation,MusicPrimaryGenre,MusicOriginCountry,MusicSource,Comments,CoderName,Keywords
197,The Science of Singing Along: A Quantitative Field Study on Sing-along Behavior in the North of England,2012,Music Perception,"Pawley, Alisun",UK,UK,UK,NA,NA,NA,NA,audience,NA,other,NA,NA,NA,pop; rock; popular hits,Western,precomposed,"Observational design did not gather subject demographic info nor classified the music selection in enough detail past ""UK popular hits""",Connor Kirts,informal singing; popular music; music in everyday life; neo-tribes; random forest statistical model
198,The Vocal Generosity Effect: How Bad Can Your Singing Be?,2012,Music Perception,"Hutchins, Sean",Canada,Canada,Canada,NA,22; 22,22.73; 22,NA,university students,musicians; non-musicians,volunteer,9; 15,13; 7,NA,artifical: classical,Western,experimenter-created,,Connor Kirts,tuning; pitch; voice; violin; perception
199,The Song Remains the Same: A Replication and Extension of the MUSIC Model,2012,Music Perception,"Rentfrow, Peter",UK,NA,online,NA,1057,26.41,9.23,NA,NA,volunteer,585,382,NA,pop; jazz; blues; rap; rock; classical; country; electronica; R&B; soul,Western,precomposed,,Connor Kirts,music; preferences; individual differences; factor analysis; genres
200,The Song Remains the Same: A Replication and Extension of the MUSIC Model,2012,Music Perception,"Rentfrow, Peter",UK,UK; US,online; US,NA,913; 408,23.87; NA,9.11; NA,university+,NA,volunteer,511; 251,345; 142,NA,jazz,Western,precomposed,,Connor Kirts,music; preferences; individual differences; factor analysis; genres
201,The Song Remains the Same: A Replication and Extension of the MUSIC Model,2012,Music Perception,"Rentfrow, Peter",UK,UK; US,online; US,NA,1786; 374,24.07; NA,6.86; NA,university+,NA,volunteer,1030; 215,642; 140,NA,rock,Western,precomposed,,Connor Kirts,music; preferences; individual differences; factor analysis; genres
202,The Role of Visual Feedback and Creative Exploration for the Improvement of Timing Accuracy in Performing Musical Ornaments,2012,Music Perception,"Timmers, Renee",UK,Netherlands,Netherlands,NA,24,24.25,4,NA,musicians,NA,NA,NA,17.58,classical,Western,precomposed,,Connor Kirts,performance; visual feedback; training; ornamentation; creativity
203,"Distortions in Reproduction of Two-Interval Rhythms: When the ""Attractor Ratio"" is Not Exactly 1:2",2012,Music Perception,"Repp, Bruno",US,US,US,NA,9,NA,NA,university students,musicians,volunteer,6,3,NA,artifical,Western,experimenter-created,,Connor Kirts,rhythm production; synchronization; interval ratio; tapping; attractor
204,"Distortions in Reproduction of Two-Interval Rhythms: When the ""Attractor Ratio"" is Not Exactly 1:2",2012,Music Perception,"Repp, Bruno",US,US; Germany,US; Germany,NA,21; 12,NA,NA,university+,musicians; non-musicians,volunteer,NA,NA,NA,artifical,Western,experimenter-created,,Connor Kirts,rhythm production; synchronization; interval ratio; tapping; attractor
205,"Distortions in Reproduction of Two-Interval Rhythms: When the ""Attractor Ratio"" is Not Exactly 1:2",2012,Music Perception,"Repp, Bruno",US,US,US,NA,9,NA,NA,university students,musicians,volunteer,NA,NA,NA,artifical,Western,experimenter-created,,Connor Kirts,rhythm production; synchronization; interval ratio; tapping; attractor
206,Emotion and music: The Ethiopian lyre bagana,2012,Musicae Scientiae,"Weisser, Stephanie",Belgium,Ethiopia; US,Ethiopia,black,32,NA,NA,NA,musicians,volunteer,10,22,NA,spiritual,Ethiopia,precomposed,Not certain if the performances were precomposed as the article did not specify musical choice. Only that statements were taken after spiritual performances,Connor Kirts,emotion; ethnomusicology; music; SEM descriptive system
207,"Exploring relationships between pianists' body movements, their expressive intentions, and structural elements of the music",2012,Musicae Scientiae,"Thompson, Marc",Finland,Finland,Finland,NA,8,24.6,NA,university students,musicians,volunteer; paid,5,3,NA,classical,Western,precomposed,,Connor Kirts,gestures; expressive body movement; motion cpature; performance conditions
208,Musical and non-musical involvement in daily life: The case of absorption,2012,Musicae Scientiae,"Herbert, Ruth",UK,UK,UK,NA,20,NA,NA,NA,non-musicians,volunteer,12,8,NA,NA,NA,NA,Music type/choice was not specified from participants ESM submissions,Connor Kirts,absorption; everyday listening; phenomenology; trance
209,Musically puzzling II: Sensitivity to overall structure in a Haydn E-minor sonata,2012,Musicae Scientiae,"Granot, Roni",Israel,Israel,Israel,NA,84,NA,NA,NA,NA,course credit; paid,48,34,NA,classical,Western,precomposed,,Connor Kirts,"concatenationism, global structure, local processing, musical puzzle, order effects, onata form, structural coherence"
210,"Typikalität, Musiker-Image und die Musikbewertung durch Jugendliche",2012,Musicae Scientiae,"Cohrdes, Caroline",Germany,Germany,Germany,NA,243,15.14,0.79,children,NA,NA,119,124,NA,pop,NA,experimenter-created,"music stimulus was composed to be 'unconventional pop' (i.e., unconventional mix of instruments, invented language etc.)",Connor Kirts,"typicality, image, music evaluation, adolescence, social identity theory (SIT), self-categorization theory (SCT), social cognition"
211,Music and affordances,2012,Musicae Scientiae,"Windsor, W. Luke",UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Review,Connor Kirts,"action, affordances, ecological, Gibson, music, perception"
212,Re-defining 'Me': Exploring career transition and the experience of loss in the context of redundancy for professional opera choristers,2012,Musicae Scientiae,"Oakland, Jane",UK,UK,UK,NA,7,48.28,3.54,NA,musicians,NA,NA,NA,NA,NA,NA,NA,I calculated sampleMean and SD because the ages of each participant were given. Did not want to imply gender. Qual study did not include music played.,Connor Kirts,interpretative phenomenological analysis; loss; opera singers; redundancy
213,Rehearsal talk: Familiarity and expertise in singer-pianist duos,2012,Musicae Scientiae,"Ginsborg, Jane",UK,UK,UK,NA,8,43,21.97,NA,musicians,NA,4,4,NA,classical,Western,precomposed,I calculated sampleMean and SD because values were given but not calculated.,Connor Kirts,cognitive; collaborative; ensemble; social
214,Musikalische und soziale Bedingungen des Singens: Eine Studie unter deutschsprachigen Chorsängern,2012,Musicae Scientiae,"Kreutz, Gunter",Germany,Germany,online,NA,3145,43,14.7,NA,musicians,NA,2150,993,NA,NA,NA,NA,no musical stimuli used,Connor Kirts,age; amateur; choir; singing; choral societies; gender; musical education; musical socialization; reading music; singing; voice part
215,"Cognitive function, origin, and evolution of musical emotions",2012,Musicae Scientiae,"Perlovsky, Leonid",US,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,review,Connor Kirts,cognition; cognitive dissonances; culture; emotions; evolution; language prosody; music; knowledge instinct
216,"The roots of music: Emotional expression, dialogue and affect attunement in the psychogensis of music",2012,Musicae Scientiae,"Volgsten, Ulrik",Sweden,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,review,Connor Kirts,affect attunement; communicative musicality; developmental psychology of music; dialogism; making special; self development; non-verbal communication; sound categorization
217,Inducing involuntary musical imagery: An experimental study,2012,Musicae Scientiae,"Liikkanen, Lassi",Finland,Finland,Finland; online,NA,991,23.7,NA,NA,musicians; non-musicians,volunteer,768,223,NA,rock; pop; tango,Western,precomposed,,Connor Kirts,cued recall; earworms; implicit memory; induction; involuntary memory; musical imagery
218,Inducing involuntary musical imagery: An experimental study,2012,Musicae Scientiae,"Liikkanen, Lassi",Finland,Finland,Finland; online,NA,6542,28.2,NA,NA,musicians; non-musicians,volunteer,4612,1930,NA,classical; rock; tango; pop,Western,precomposed,,Connor Kirts,cued recall; earworms; implicit memory; induction; involuntary memory; musical imagery
219,Inducing involuntary musical imagery: An experimental study,2012,Musicae Scientiae,"Liikkanen, Lassi",Finland,Finland,Finland; online,NA,34,NA,NA,undergraduate students,NA,volunteer,NA,NA,NA,classical; rock; pop; tango,Western,precomposed,,Connor Kirts,cued recall; earworms; implicit memory; induction; involuntary memory; musical imagery
220,Characterising musical gestures,2012,Musicae Scientiae,"Ben-Tal, Oded",UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,classical,Western,NA,review,Connor Kirts,music analysis; musical gestures; sonic gestures
221,Tracking the composer's cognition in the course of a creative process: Stefano Gervasoni and the beginning of Gramigna,2012,Musicae Scientiae,"Donin, Nicolas",France,France,Italy,NA,1,NA,NA,NA,musicians,volunteer,NA,1,NA,classical,Western,other,case study of a composer creating a piece,Connor Kirts,cognition; creativity; music analysis; method of composition; sketch studies; genetic criticism; situation simulation interview based on documentation; composition simulation; Stefano Gervasoni
222,Blast from the past: Conservatoire students' experiences and perceptions of public master classes,2012,Musicae Scientiae,"Long, Marion",UK,UK,UK,NA,351,21.28,2.76,university students,musicians,volunteer,172,179,NA,classical,Western,NA,study was based on conservatoire master class perception but music source was not specified,Connor Kirts,community of practice; gender; institution; master class
223,Recognition and description of singing voices: The impact of verbal overshadowing,2012,Musicae Scientiae,"Mitchell, Helen",Australia,Australia; UK,Australia; UK,NA,50,33,NA,university+,musicians,volunteer,32,18,NA,classical,Western,precomposed,,Connor Kirts,auditory recognition; music performance; singing voice; verbalization; verbal overshadowing
224,Melodic similarity among folk songs: An annotation study on similarity-based categorization in music,2012,Musicae Scientiae,"Volk, Anja",Netherlands,Netherlands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,folk,Western,precomposed,corpus study of dutch folk songs,Connor Kirts,melodic similarity; categorization; musical features; tune families
225,"Music-enhanced recall: An effect of mood congruence, emotion arousal or emotion function?",2012,Musicae Scientiae,"Tesoriero, Michael",Australia,Australia,Australia; online,NA,95,26.56,9.63,university+,non-musicians,volunteer,68,27,NA,classical,Western,precomposed,,Connor Kirts,arousal; congruence; emotion; encoding; function; mood regulation; music; short-term recall
226,Restraint of body movement potentially reduces peak SPL in western contemporary popular singing,2012,Musicae Scientiae,"Turner, Gemma",Australia,Australia,Australia,NA,6,NA,NA,NA,musicians,NA,5,1,NA,R&B,Western,precomposed,,Connor Kirts,body movement restraint; peak sound pressure level; sensorimotor feedback; subglottal pressure; western contemporary popular singing
227,"The development of the aesthetic experience of music: Preference, emotions, and beauty",2012,Musicae Scientiae,"Nieminen, Sirke",Finland,Finland,Finland,NA,78,7.47,0.83,children,musicians; non-musicians,NA,40,38,NA,children's song,Western,experimenter-created,,Connor Kirts,aesthetic experience; beauty; development; emotions; music; preference; tonality
228,Effects of music therapy on facial expression of individuals with Parkinson's disease: A pilot study,2012,Musicae Scientiae,"Elefant, Cochavit",Norway,Norway,Norway,NA,10,66.4,8.95,patients,NA,volunteer,3,7,NA,NA,NA,NA,"I calculated the sampleMean and SD from the data points provided. Participants sang songs which they perferred and had chosen. However, no mention of actual music is given nor genre.",Connor Kirts,communication; facial expression; FACS; music therapy; Parkinson's disease; social interaction
229,Music as an Aid to Learn New Verbal Information in Alzheimer's Disease,2012,Music Perception,"Moussard, Aline",France,Canada,Canada,NA,1,68,0,NA,NA,NA,1,0,7,folk; classical,Western,experimenter-created; precomposed,,Connor Kirts,Alzheimer's disease; singing; verbal recall; delayed recall; music
230,Preferences for piano versus harpsichord performances in Renaissance and Baroque keyboard music,2012,Psychology of Music,"Wapnick, Joel",Canada,North America,NA,NA,280,NA,NA,undergraduate students,musicians; non-musicians,volunteer,NA,NA,NA,Renaissance; Baroque,Western,semi-precomposed,,Chara Steliou,NA
231,String quartets as self-managed teams: An interdisciplinary perspective,2012,Psychology of Music,"Gilboa, Avi",Israel,Israel,Israel,NA,72,38.32,13.68,NA,musicians,volunteer,45,27,16.86,NA,NA,NA,"musical experience (M = 18.5, SD = 12.22)",Chara Steliou,group characteristics; interdisciplinary studies; leadership; self-managed-team; string quartet; teamwork
232,String quartets as self-managed teams: An interdisciplinary perspective,2012,Psychology of Music,"Gilboa, Avi",Israel,Israel,North America,NA,26,27.8,10.5,NA,musicians,volunteer,24,12,17.77,NA,NA,NA,"musical experience (M=10.08, SD = 9.83)",Chara Steliou,group characteristics; interdisciplinary studies; leadership; self-managed-team; string quartet; teamwork
233,Musical “learning styles” and “learning strategies” in the instrumental lesson: Some emergent findings from a pilot study,2012,Psychology of Music,"Green, Lucy",UK,UK,UK,white,15,NA,NA,children,non-musicians,volunteer,9,6,NA,Classical;Pop/Funk,Western,precomposed; semi-precomposed,,Chara Steliou,aural learning; instrumental learning; learning strategy; learning style; music
234,A multi-institution exploration of secondary socialization and occupational identity among undergraduate music majors,2012,Psychology of Music,"Austin, James R.",US,US,US,NA,454,NA,NA,undergraduate students,musicians,volunteer,245,209,NA,NA,NA,NA,,Chara Steliou,commitment; identity; multivariate; music school; socialization
235,The influence of distracting familiar vocal music on cognitive performance of introverts and extraverts,2012,Psychology of Music,"Avila, Christina",UK,UK,UK,NA,58,16.78,NA,undergraduate students,musicians,volunteer,36,22,NA,Pop,Western,precomposed,,Chara Steliou,distraction; music; performance; personality; thinking
236,Possible selves as a source of motivation for musicians,2012,Psychology of Music,"Schnare, Ben",Canada,online,North America; Europe,NA,204,NA,NA,NA,musicians,volunteer,90,97,NA,NA,NA,NA,17 didn't identify their sex,Chara Steliou,expectancies; motivation; musical self; possible selves; qualitative methods
237,Genre identification of very brief musical excerpts,2012,Psychology of Music,"Mace, Sandra T.",US,US,US,NA,347,NA,NA,undergraduate students,musicians,volunteer,218,129,NA,Classical; jazz; country; metal; rap/hip hop,Western,precomposed,,Chara Steliou,brief excerpt; excerpt length; gender; genre; musical training; preference
238,Musical taste and the representativeness heuristic,2012,Psychology of Music,"Lonsdale, Adam J.",UK,UK,NA,NA,150,19.22,1.37,undergraduate students,non-musicians,course credit,123,27,NA,Heavy metal; r'n'b; jazz; hip-hop/rap; classical; chart pop; dance; opera; indie rock; country,NA,NA,,Chara Steliou,musical taste; representativeness heuristic; stereotypes
239,Musical taste and the representativeness heuristic,2012,Psychology of Music,"Lonsdale, Adam J.",UK,UK,NA,NA,125,19.84,3.29,undergraduate students,non-musicians,volunteer,98,27,NA,NA,NA,NA,,Chara Steliou,musical taste; representativeness heuristic; stereotypes
240,"‘Rock music for myself and justice to the world!’: Musical identity, values, and music preferences",2012,Psychology of Music,"Gardikiotis, Antonis",Greece,Greece,Greece,NA,606,20.91,2.53,NA,non-musicians,volunteer,303,293,NA,Greek and Non-greek,Western,NA,,Chara Steliou,music genres; music preferences; musical identity; personal values; self-identity
241,"The relationship between affect, uses of music, and music preferences in a sample of South African adolescents",2012,Psychology of Music,"Getz, Laura M.",US,South Africa,South Africa,black,193,13.77,0.85,children,non-musicians,volunteer,107,81,NA,NA,NA,NA,5 didn't identify their sex; please check - ethnicity defined as Traditional African,Chara Steliou,adolescents; music preferences; PANAS; South Africa; uses of music
242,Towards a holistic model of functions of music listening across cultures: A culturally decentred qualitative approach,2012,Psychology of Music,"Boer, Diana",New Zealand,online,Germany,NA,222,23,9.05,NA,non-musicians,volunteer,129,93,NA,NA,NA,NA,"please check - ethnicity is not defined as white, asian etc but in a broader cultural category: Regarding their cultural backgrounds, the participants can be categorized into four broad cultural clusters, based upon their stated home country (that is, the country in which they grew up) and ethnicity, namely Anglophone Western, non-Anglophone Western, Asian, and South-American (Table 1).",Chara Steliou,cross-cultural comparison; cultural functions; functions of music; individual functions; music listening; qualitative method; social functions
243,Towards a holistic model of functions of music listening across cultures: A culturally decentred qualitative approach,2012,Psychology of Music,"Boer, Diana",New Zealand,New Zealand,New Zealand,NA,74,31,12.08,NA,non-musicians,volunteer,36,38,NA,NA,NA,NA,,Chara Steliou,cross-cultural comparison; cultural functions; functions of music; individual functions; music listening; qualitative method; social functions
244,Positive outcomes following participation in a music intervention for adolescents and young adults on the autism spectrum,2012,Psychology of Music,"Hillier, Ashleigh",US,US,NA,white,22,18,NA,NA,non-musicians,volunteer,4,18,NA,NA,NA,NA,,Chara Steliou,anxiety; autism spectrum; music intervention; peer relationships; self-esteem
245,Sight-reading expertise: Cross-modality integration investigated using eye tracking,2012,Psychology of Music,"Drai-Zerbib,Veronique ",France,France,NA,NA,25,NA,NA,university+,musicians,volunteer,NA,NA,NA,Classical,Western,precomposed,,Chara Steliou,cross-modality; expertise; eye movements; psychology of music; sight-reading
246,Musical activities predispose to involuntary musical imagery,2012,Psychology of Music,"Liikkanen, Lassi A.",Finland,online,Finland,NA,"11,910",27.8,8.4,NA,musicians; non-musicians,volunteer,"8,146","3,764",NA,NA,NA,NA,,Chara Steliou,everyday music; INMI; involuntary memory; involuntary musical imagery; memory for music; musical imagery
247,How do “earworms” start? Classifying the everyday circumstances of Involuntary Musical Imagery,2012,Psychology of Music,"Williamson, Victoria J.",UK,UK,NA,NA,"2,424",NA,NA,NA,NA,volunteer,NA,NA,NA,NA,NA,NA,This study run a feature on BBC morning breakfast show where listeners can contact the presenter to describe their experiences of “earworms. Thus no demographic information is available.,Chara Steliou,affective states; attention states; everyday music listening; involuntary autobiographical/semantic memory (IAM/ISM); involuntary musical imagery (INMI)
248,How do “earworms” start? Classifying the everyday circumstances of Involuntary Musical Imagery,2012,Psychology of Music,"Williamson, Victoria J.",UK,online,NA,NA,271,36.3,12.13,NA,non-musicians,volunteer,152,117,NA,NA,NA,NA,,Chara Steliou,affective states; attention states; everyday music listening; involuntary autobiographical/semantic memory (IAM/ISM); involuntary musical imagery (INMI)
249,"Individual differences in music consumption are predicted by uses of music and age rather than emotional intelligence, neuroticism, extraversion or openness",2012,Psychology of Music,"Chamorro-Premuzic, Tomas",UK,online,UK,white,535,24.2,7.9,NA,NA,other,170,365,NA,NA,NA,NA,"Ethnicity not reported as White, asian etc",Chara Steliou,Big Five; music consumption; trait emotional intelligence; uses of music
250,An exploration of musical communication through expressive use of timbre: The performer’s perspective,2012,Psychology of Music,"Holmes, Patricia A.",UK,UK,NA,NA,1,NA,NA,NA,musicians,volunteer,NA,1,NA,Classical,Western,NA,,Chara Steliou,communication; motivation; performance; perception; structure; timbre
251,Epistemic beliefs and self-regulated learning in music students,2012,Psychology of Music,"Nielsen, Siw Graabræk",Norway,Norway,NA,NA,130,20.8,6.3,undergraduate students,musicians,volunteer,71,59,NA,Classical,Western,NA,,Chara Steliou,advanced music students; epistemic beliefs; higher music education; learning strategies; music practice; self-regulated learning
252,Eye movements and reading comprehension while listening to preferred and non-preferred study music,2012,Psychology of Music,"Johansson, Roger",Sweden,Sweden,Sweden,NA,24,27.9,7.7,university students,NA,other,12,12,NA,Classical; pop; rock; rap,Western,precomposed,,Chara Steliou,eye movements; music and cognition; music distraction; reading comprehension
253,"No disadvantage for left-handed musicians: The relationship between handedness, perceived constraints and performance-related skills in string players and pianists",2012,Psychology of Music,"Kopiez, Reinhard",Germany,Germany,NA,NA,47,22.6,3.6,university+,musicians,volunteer,NA,NA,NA,NA,NA,NA,,Chara Steliou,handedness; music performance; pianists; sensorimotor skills; string players
254,"No disadvantage for left-handed musicians: The relationship between handedness, perceived constraints and performance-related skills in string players and pianists",2012,Psychology of Music,"Kopiez, Reinhard",Germany,Germany,NA,NA,19,23.1,2.4,university students,musicians,volunteer,NA,NA,NA,NA,NA,NA,,Chara Steliou,handedness; music performance; pianists; sensorimotor skills; string players
255,"Sensation-seeking, performance genres and substance use among musicians",2012,Psychology of Music,"Miller, Kathleen E.",US,US,NA,white,226,27.7,NA,NA,musicians,volunteer,90,136,NA,NA,NA,NA,,Chara Steliou,alcohol abuse; illicit drug use; musical performance genre dimensions; sensation-seeking; smoking
256,"Toward a better understanding of the relation between music preference, listening behavior, and personality",2012,Psychology of Music,"Dunn, Peter Gregory",Netherlands,Netherlands,Netherlands,NA,395,36.7,8.93,NA,musicians; non-musicians,volunteer,60,335,NA,alternative; blues; classical; country; dance; folk; funk; heavy metal; jazz; pop; rap; religious; rock; R&B; soundtracks; and ‘other’ category,Western,precomposed,5 participants did not provide their age; 14 participants did not specify their nationality,Chara Steliou,Big Five; genre; listening behavior; music preferences; personal preferences; personality
257,An empirical exploration of the zygonic model of expectation in music,2012,Psychology of Music,"Thorpe, Michael",UK,UK,NA,NA,40,34,NA,NA,non-musicians,volunteer,24,16,NA,short tonal melody,NA,NA,,Chara Steliou,adjacency; anticipation; musical structure; recency
258,Imagining the music: Methods for assessing musical imagery ability,2012,Psychology of Music,"Clark, Terry",UK,UK; US,NA,NA,32,22.29,2.2,university students,musicians,volunteer,21,11,NA,Classical,Western,precomposed,,Chara Steliou,imagery; mental chronometry; mental skills; music education; performance science
259,"Instrument, gender and musical style associations in young children",2012,Psychology of Music,"Marchall, Nigel A.",UK,UK,NA,NA,65,NA,NA,children,non-musicians,volunteer,32,33,NA,mixture of various genres,NA,semi-precomposed,,Chara Steliou,early years; gender associations; musical instruments; musical style; stereotypes
260,"Pitch perception, working memory, and second-language phonological production",2012,Psychology of Music,"Posedel, James",US,US,NA,NA,45,18.8,1.12,undergraduate students,non-musicians,course credit,18,27,NA,NA,NA,NA,,Chara Steliou,language; music perception; music training; phonology; working memory
261,The sign of silence: Negotiating musical identities in an improvising ensemble,2012,Psychology of Music,"Wilson, Graeme B.",UK,UK,NA,NA,10,NA,NA,NA,musicians,volunteer,2,8,NA,Jazz,Western,NA,,Chara Steliou,discourse; group; identities; improvising; music
262,"Emotion, engagement and meaning in strong experiences of music performance",2012,Psychology of Music,"Lamont, Alexandra",UK,UK,NA,white,35,20.6,2.8,NA,musicians; non-musicians,volunteer,27,8,NA,NA,NA,NA,,Chara Steliou,emotions; flow; music performance; positive psychology; wellbeing
263,Bodily movement and facial actions in expressive musical performance by solo and duo instrumentalists: Two distinctive case studies,2012,Psychology of Music,"Davidson, Jane W.",Australia,Australia,NA,NA,4,NA,NA,university+,musicians,volunteer,4,0,NA,Contemporary,Western,experimenter-created,,Chara Steliou,body; expression; facial; gesture; performance
264,Bodily movement and facial actions in expressive musical performance by solo and duo instrumentalists: Two distinctive case studies,2012,Psychology of Music,"Davidson, Jane W.",Australia,Australia,NA,NA,1,NA,NA,university students,musicians,volunteer,1,0,NA,Classical,Western,precomposed,,Chara Steliou,body; expression; facial; gesture; performance
265,The reciprocal relationship between jazz musicians and audiences in live performances: A pilot qualitative study,2012,Psychology of Music,"Brand, Gail",UK,UK,NA,NA,7,NA,NA,NA,musicians,volunteer,0,7,NA,Jazz,Western,NA,,Chara Steliou,audience effects; audience response; jazz; jazz musicians; live performance
266,The reciprocal relationship between jazz musicians and audiences in live performances: A pilot qualitative study,2012,Psychology of Music,"Brand, Gail",UK,UK,NA,NA,10,NA,NA,NA,non-musicians,volunteer,3,7,NA,Jazz,Western,NA,,Chara Steliou,audience effects; audience response; jazz; jazz musicians; live performance
267,The development of practising strategies in young peopl,2012,Psychology of Music,"Hallam, Susan",UK,UK,NA,NA,"3,325",13.4,2.7,children,musicians,volunteer,"2,027","1,225",NA,NA,NA,NA,some didn’t indicate sex,Chara Steliou,concentration; development; expertise; motivation; practice
268,"Do prior experience, gender, or level of study influence music students’ perspectives on master classes?",2012,Psychology of Music,"Long, Marion",UK,UK,NA,NA,351,21.28,2.76,university students,musicians,volunteer,173,177,NA,NA,NA,NA,,Chara Steliou,conservatoire curriculum; master classes; postgraduate students; self-regulated learning
269,Fast and loud background music disrupts reading comprehension,2012,Psychology of Music,"Thompson, William Forde ",Australia,Australia,NA,NA,25,19.7,NA,undergraduate students,non-musicians,volunteer,16,9,NA,Classical,Western,precomposed,,Chara Steliou,background music; music and cognition; music and reading; reading comprehension
270,The effect of musical fit on consumers’ preferences between competing alternate petrols,2012,Psychology of Music,"Yeoh, Joanne P.S.",Malaysia,Malaysia,NA,NA,90,24.89,9.54,university students,non-musicians,volunteer,NA,NA,NA,Children's music; Rock,Western,precomposed,,Chara Steliou,choice; consumers; music; preference
271,Inside the collaborative inter-arts improvisatory process: Tertiary music students’ perspectives,2012,Psychology of Music,"Blom, Diana",Australia,Australia,NA,NA,17,NA,NA,undergraduate students,musicians,volunteer,9,8,NA,NA,NA,NA,,Chara Steliou,collaboration; inter-arts; learning; tertiary; transforming existing knowledge; transforming the individual
272,Music and moral judgment: The effect of background music on the evaluation of ads promoting unethical behavior,2012,Psychology of Music,"Ziv, Naomi",Israel,Israel,NA,NA,62,24.93,3.47,undergraduate students,non-musicians,course credit,37,19,NA,Classical,Western,precomposed,,Chara Steliou,attitudes; involvement; moral judgment; music; persuasion
273,Music and moral judgment: The effect of background music on the evaluation of ads promoting unethical behavior,2012,Psychology of Music,"Ziv, Naomi",Israel,Israel,NA,NA,120,25.5,NA,NA,NA,NA,86,34,NA,Soul,Western,precomposed,,Chara Steliou,attitudes; involvement; moral judgment; music; persuasion
274,Emotional Connotations of Diatonic Modes ,2013,Music Perception,"Temperley, David",US,US,US,NA,17,NA,NA,undergraduate students,non-musicians,paid,9,8,NA,European folk melodies,Western,experimenter-created,music created for study in Eastern European folk style but by US-based experimenters,Lizzy,"emotion, modality, scales, happiness, popular music"
275,The Effect of Timbre and Loudness on Melody Segregation,2013,Music Perception,"Marozeau, Jeremy",Australia,Australia,Australia,NA,37,31; 32.2,7.2; 7.9,adults,musicians; non-musicians,volunteer,20,17,NA,artificial,Western,experimenter-created,mean/SD ages reported according to groups: musicians; non-musicians,Lizzy,"auditory stream segregation, pychophysics, music training, cochlear implants, hearing impairment"
276,The Effect of Timbre and Loudness on Melody Segregation,2013,Music Perception,"Marozeau, Jeremy",Australia,Australia,Australia,NA,13,28,4.8,NA,musicians; non-musicians,volunteer,7,6,NA,artificial,Western,experimenter-created,,Lizzy,"auditory stream segregation, pychophysics, music training, cochlear implants, hearing impairment"
277,Mental Practice in Music Memorization: An Ecological-Empirical Study,2013,Music Perception,"Francesco Bernardi, Nicolo",Italy,Germany,Germany,NA,16,26,NA,NA,musicians,volunteer,8,8,NA,classical,Western,precomposed,NA,Lizzy,"mental practice, mental imagery, music memorization, music performance, musicians' injuries"
278,Systematic Distortions in Musicians’ Reproduction of Cyclic Three-Interval Rhythms,2013,Music Perception,"Repp, Bruno",US,US,US,NA,14,NA,NA,NA,musicians,paid,6,8,NA,artificial,Western,experimenter-created,participant age ranges instead of means were reported: 21-66; 23-27,Lizzy,"rhythm production, interval ratios, synchronization, assimilation, attractor"
279,The Impact of the Bass Drum on Human Dance Movement,2013,Music Perception,"Van Dyck, Edith",Belgium,Belgium,Belgium,NA,100,25.43,8.01,adults,musicians; non-musicians,volunteer; paid,50,50,NA,club-like electronic,Western,experimenter-created,,Lizzy,"dance, bass drum, activity count, entrainment, joint action"
280,Facial Mimicry in Response to Song,2013,Music Perception,"Chan, Lisa P.",Canada,Canada,Canada,NA,37,21.6,4.4,undergraduate students,musicians,course credit; paid,37,0,NA,NA,Western,experimenter-created,"Stimuli consisted of audio-visual recordings of the
model target singing brief lyrical phrases set to a melody and an audible metronome.",Lizzy,"facial mimicry, emotion, song, EMG, facial expressions"
281,Can Musicians Track Two Different Beats Simultaneously?,2013,Music Perception,"Poudrier, Eve",US,US,US,NA,9,NA,NA,university students,musicians,paid,4,5,NA,artificial,Western,experimenter-created,NA,Lizzy,"polyrhythm, polymeter, auditory streaming, attention, beat induction"
282,Can Musicians Track Two Different Beats Simultaneously?,2013,Music Perception,"Poudrier, Eve",US,US,US,NA,10,NA,NA,NA,musicians,NA,NA,NA,NA,artificial,Western,experimenter-created,NA,Lizzy,"polyrhythm, polymeter, auditory streaming, attention, beat induction"
283,Correspondence in Perception of the Tritone Paradox and Perfect-Fifth/Perfect-Fourth Intervals,2013,Music Perception,"Ragozzine, Frank",US,US,US,NA,5,19.4,NA,undergraduate students,NA,course credit; paid,4,1,NA,artificial,NA,experimenter-created,NA,Lizzy,"tritone paradox, perfect fifth, perfect fourth, proximity, octave related complex"
284,Correspondence in Perception of the Tritone Paradox and Perfect-Fifth/Perfect-Fourth Intervals,2013,Music Perception,"Ragozzine, Frank",US,US,US,NA,5,21.4,NA,undergraduate students,NA,course credit; paid,2,3,NA,artificial,NA,experimenter-created,NA,Lizzy,"tritone paradox, perfect fifth, perfect fourth, proximity, octave related complex"
