PaperTitle,Year,Journal,FirstAuthorName,FirstAuthorCountry,CountryDataCollected,SamplePrimaryCountryofOrigin,Ethnicity,SampleSize,SampleAgeMean,SampleAgeSD,SampleOtherDescription,SampleMusicianshipDescription,SamplingMethodDescription,FemaleParticipantsNumber,MaleParticipantsNumber,MeanYearsEducation,MusicPrimaryGenre,MusicOriginCountry,MusicSource,Comments,CoderName,Keywords
String quartets as self-managed teams: An interdisciplinary perspective,2012,Psychology of Music,"Gilboa, Avi",Israel,Israel,Israel,NA,72,38.32,13.68,professional musicians,musicians,volunteers,45,27,16.86,NA,NA,NA,"musical experience (M = 18.5, SD = 12.22)",Chara Steliou,group characteristics; interdisciplinary studies; leadership; self-managed-team; string quartet; teamwork
String quartets as self-managed teams: An interdisciplinary perspective,2012,Psychology of Music,"Gilboa, Avi",Israel,Israel,North America,NA,26,27.8,10.5,professional musicians,musicians,volunteers,24,12,17.77,NA,NA,NA,"musical experience (M=10.08, SD = 9.83)",Chara Steliou,group characteristics; interdisciplinary studies; leadership; self-managed-team; string quartet; teamwork
Musical “learning styles” and “learning strategies” in the instrumental lesson: Some emergent findings from a pilot study,2012,Psychology of Music,"Green, Lucy",UK,UK,UK,White,15,NA,NA,students under 18,non-musicians,volunteers,9,6,NA,Classical;Pop/Funk,Western,precomposed; semi-precomposed,,Chara Steliou,aural learning; instrumental learning; learning strategy; learning style; music
A multi-institution exploration of secondary socialization and occupational identity among undergraduate music majors,2012,Psychology of Music,"Austin, James R.",USA,USA,USA,NA,454,NA,NA,undergraduate students,musicians,volunteers,245,209,NA,NA,NA,NA,,Chara Steliou,commitment; identity; multivariate; music school; socialization
The influence of distracting familiar vocal music on cognitive performance of introverts and extraverts,2012,Psychology of Music,"Avila, Christina",UK,UK,UK,NA,58,16.78,NA,undergraduate students,musicians,volunteers,36,22,NA,Pop,Western,precomposed,,Chara Steliou,distraction; music; performance; personality; thinking
Possible selves as a source of motivation for musicians,2012,Psychology of Music,"Schnare, Ben",Canada,online,North America; Europe,NA,204,NA,NA,NA,musicians,volunteers,90,97,NA,NA,NA,NA,17 didn't identify their sex,Chara Steliou,expectancies; motivation; musical self; possible selves; qualitative methods
Genre identification of very brief musical excerpts,2012,Psychology of Music,"Mace, Sandra T.",USA,USA,USA,NA,347,NA,NA,undergraduate students,musicians,volunteers,218,129,NA,Classical; jazz; country; metal; rap/hip hop,Western,precomposed,,Chara Steliou,brief excerpt; excerpt length; gender; genre; musical training; preference
Musical taste and the representativeness heuristic,2012,Psychology of Music,"Lonsdale, Adam J.",UK,UK,NA,NA,150,19.22,1.37,undergraduate students,non-musicians,course credit,123,27,NA,Heavy metal; r'n'b; jazz; hip-hop/rap; classical; chart pop; dance; opera; indie rock; country,NA,NA,,Chara Steliou,musical taste; representativeness heuristic; stereotypes
Musical taste and the representativeness heuristic,2012,Psychology of Music,"Lonsdale, Adam J.",UK,UK,NA,NA,125,19.84,3.29,undergraduate students,non-musicians,volunteers,98,27,NA,NA,NA,NA,,Chara Steliou,musical taste; representativeness heuristic; stereotypes
"‘Rock music for myself and justice to the world!’: Musical identity, values, and music preferences",2012,Psychology of Music,"Gardikiotis, Antonis",Greece,Greece,Greece,NA,606,20.91,2.53,NA,non-musicians,volunteers,303,293,NA,Greek and Non-greek,Western,NA,,Chara Steliou,music genres; music preferences; musical identity; personal values; self-identity
"The relationship between affect, uses of music, and music preferences in a sample of South African adolescents",2012,Psychology of Music,"Getz, Laura M.",USA,South Africa,South Africa,Traditional Africans,193,13.77,0.85,secondary school students,non-musicians,volunteers,107,81,NA,NA,NA,NA,5 didn't identify their sex; please check - ethnicity defined as Traditional African,Chara Steliou,adolescents; music preferences; PANAS; South Africa; uses of music
Towards a holistic model of functions of music listening across cultures: A culturally decentred qualitative approach,2012,Psychology of Music,"Boer, Diana",New Zealand,online,Germany,NA,222,23,9.05,NA,non-musicians,volunteers,129,93,NA,NA,NA,NA,"please check - ethnicity is not defined as white, asian etc but in a broader cultural category: Regarding their cultural backgrounds, the participants can be categorized into four broad cultural clusters, based upon their stated home country (that is, the country in which they grew up) and ethnicity, namely Anglophone Western, non-Anglophone Western, Asian, and South-American (Table 1).",Chara Steliou,cross-cultural comparison; cultural functions; functions of music; individual functions; music listening; qualitative method; social functions
Towards a holistic model of functions of music listening across cultures: A culturally decentred qualitative approach,2012,Psychology of Music,"Boer, Diana",New Zealand,New Zealand,New Zealand,NA,74,31,12.08,NA,non-musicians,volunteers,36,38,NA,NA,NA,NA,,Chara Steliou,cross-cultural comparison; cultural functions; functions of music; individual functions; music listening; qualitative method; social functions
Positive outcomes following participation in a music intervention for adolescents and young adults on the autism spectrum,2012,Psychology of Music,"Hillier, Ashleigh",USA,USA,NA,Caucasian,22,18,NA,NA,non-musicians,volunteers,4,18,NA,NA,NA,NA,,Chara Steliou,anxiety; autism spectrum; music intervention; peer relationships; self-esteem
Sight-reading expertise: Cross-modality integration investigated using eye tracking,2012,Psychology of Music,"Drai-Zerbib,Veronique ",France,France,NA,NA,25,NA,NA,university students; university teachers,musicians,volunteers,NA,NA,NA,Classical,Western,precomposed,,Chara Steliou,cross-modality; expertise; eye movements; psychology of music; sight-reading
Musical activities predispose to involuntary musical imagery,2012,Psychology of Music,"Liikkanen, Lassi A.",Finland; USA,online,Finland,NA,"11,910",27.8,8.4,NA,non-musicians; musicians,volunteers,"8,146","3,764",NA,NA,NA,NA,,Chara Steliou,everyday music; INMI; involuntary memory; involuntary musical imagery; memory for music; musical imagery
How do “earworms” start? Classifying the everyday circumstances of Involuntary Musical Imagery,2012,Psychology of Music,"Williamson, Victoria J.",UK,UK,NA,NA,"2,424",NA,NA,NA,NA,volunteers,NA,NA,NA,NA,NA,NA,This study run a feature on BBC morning breakfast show where listeners can contact the presenter to describe their experiences of “earworms. Thus no demographic information is available.,Chara Steliou,affective states; attention states; everyday music listening; involuntary autobiographical/semantic memory (IAM/ISM); involuntary musical imagery (INMI)
How do “earworms” start? Classifying the everyday circumstances of Involuntary Musical Imagery,2012,Psychology of Music,"Williamson, Victoria J.",UK,online,NA,NA,271,36.3,12.13,NA,non-musicians,volunteers,152,117,NA,NA,NA,NA,,Chara Steliou,affective states; attention states; everyday music listening; involuntary autobiographical/semantic memory (IAM/ISM); involuntary musical imagery (INMI)
"Individual differences in music consumption are predicted by uses of music and age rather than emotional intelligence, neuroticism, extraversion or openness",2012,Psychology of Music,"Chamorro-Premuzic, Tomas",UK,online,UK,European/Caucasian,535,24.2,7.9,NA,NA,prize draw,170,365,NA,NA,NA,NA,"Ethnicity not reported as White, asian etc",Chara Steliou,Big Five; music consumption; trait emotional intelligence; uses of music
An exploration of musical communication through expressive use of timbre: The performer’s perspective,2012,Psychology of Music,"Holmes, Patricia A.",UK,UK,NA,NA,1,NA,NA,university teacher,musician,volunteer,NA,1,NA,Classical,Western,NA,,Chara Steliou,communication; motivation; performance; perception; structure; timbre
Epistemic beliefs and self-regulated learning in music students,2012,Psychology of Music,"Nielsen, Siw Graabræk",Norway,Norway,NA,NA,130,20.8,6.3,undergraduate students,musicians,volunteers,71,59,NA,Classical,Western,NA,,Chara Steliou,advanced music students; epistemic beliefs; higher music education; learning strategies; music practice; self-regulated learning
Eye movements and reading comprehension while listening to preferred and non-preferred study music,2012,Psychology of Music,"Johansson, Roger",Sweden,Sweden,Sweden,NA,24,27.9,7.7,university students,NA,cinema ticket,12,12,NA,Classical; pop; rock; rap,Western,precomposed,,Chara Steliou,eye movements; music and cognition; music distraction; reading comprehension
"No disadvantage for left-handed musicians: The relationship between handedness, perceived constraints and performance-related skills in string players and pianists",2012,Psychology of Music,"Kopiez, Reinhard",Germany,Germany,NA,NA,47,22.6,3.6,university students; university teachers,musicians,volunteers,NA,NA,NA,NA,NA,NA,,Chara Steliou,handedness; music performance; pianists; sensorimotor skills; string players
"No disadvantage for left-handed musicians: The relationship between handedness, perceived constraints and performance-related skills in string players and pianists",2012,Psychology of Music,"Kopiez, Reinhard",Germany,Germany,NA,NA,19,23.1,2.4,university students,musicians,volunteers,NA,NA,NA,NA,NA,NA,,Chara Steliou,handedness; music performance; pianists; sensorimotor skills; string players
"Sensation-seeking, performance genres and substance use among musicians",2012,Psychology of Music,"Miller, Kathleen E.",USA,USA,NA,non-Hispanic White,226,27.7,NA,NA,musicians; amateurs musicians,volunteers,90,136,NA,NA,NA,NA,,Chara Steliou,alcohol abuse; illicit drug use; musical performance genre dimensions; sensation-seeking; smoking
"Toward a better understanding of the relation between music preference, listening behavior, and personality",2012,Psychology of Music,"Dunn, Peter Gregory",Netherlands,Netherlands,Netherlands,NA,395,36.7,8.93,NA,non-musicians; musicians,volunteers,60,335,NA,alternative; blues; classical; country; dance; folk; funk; heavy metal; jazz; pop; rap; religious; rock; R&B; soundtracks; and ‘other’ category,Western,precomposed,5 participants did not provide their age; 14 participants did not specify their nationality,Chara Steliou,Big Five; genre; listening behavior; music preferences; personal preferences; personality
An empirical exploration of the zygonic model of expectation in music,2012,Psychology of Music,"Thorpe, Michael",UK,UK,NA,NA,40,34,NA,NA,non-musicians,volunteers,24,16,NA,short tonal melody,NA,NA,,Chara Steliou,adjacency; anticipation; musical structure; recency
Imagining the music: Methods for assessing musical imagery ability,2012,Psychology of Music,"Clark, Terry",UK,UK;USA,NA,NA,32,22.29,2.2,undergraduate and postgraduate students,musicians,volunteers,21,11,NA,Classical,Western,precomposed,,Chara Steliou,imagery; mental chronometry; mental skills; music education; performance science
"Instrument, gender and musical style associations in young children",2012,Psychology of Music,"Marchall, Nigel A.",UK,UK,NA,NA,65,NA,NA,children age 3-4,non-musicans,volunteers,32,33,NA,mixture of various genres,NA,semi-precomposed,,Chara Steliou,early years; gender associations; musical instruments; musical style; stereotypes
"Pitch perception, working memory, and second-language phonological production",2012,Psychology of Music,"Posedel, James",USA,USA,NA,NA,45,18.8,1.12,undergraduate students,non-musicans,course credit,18,27,NA,NA,NA,NA,,Chara Steliou,language; music perception; music training; phonology; working memory
The sign of silence: Negotiating musical identities in an improvising ensemble,2012,Psychology of Music,"Wilson, Graeme B.",UK,UK,NA,NA,10,NA,NA,NA,musicians,volunteers,2,8,NA,Jazz,Western,NA,,Chara Steliou,discourse; group; identities; improvising; music
"Emotion, engagement and meaning in strong experiences of music performance",2012,Psychology of Music,"Lamont, Alexandra",UK,UK,NA,White Caucasian,35,20.6,2.8,NA,musicians; non-musicians,volunteers,27,8,NA,NA,NA,NA,,Chara Steliou,emotions; flow; music performance; positive psychology; wellbeing
Bodily movement and facial actions in expressive musical performance by solo and duo instrumentalists: Two distinctive case studies,2012,Psychology of Music,"Davidson, Jane W.",Australia,Australia,NA,NA,4,NA,NA,university students; professional musicians,musicians,volunteers,4,0,NA,Contemporary,Western,experimenter-created,,Chara Steliou,body; expression; facial; gesture; performance
Bodily movement and facial actions in expressive musical performance by solo and duo instrumentalists: Two distinctive case studies,2012,Psychology of Music,"Davidson, Jane W.",Australia,Australia,NA,NA,1,NA,NA,postgraduate student,musician,volunteers,1,0,NA,Classical,Western,precomposed,,Chara Steliou,body; expression; facial; gesture; performance
The reciprocal relationship between jazz musicians and audiences in live performances: A pilot qualitative study,2012,Psychology of Music,"Brand, Gail",UK,UK,NA,NA,7,NA,NA,NA,musicians,volunteers,0,7,NA,Jazz,Western,NA,,Chara Steliou,audience effects; audience response; jazz; jazz musicians; live performance
The reciprocal relationship between jazz musicians and audiences in live performances: A pilot qualitative study,2012,Psychology of Music,"Brand, Gail",UK,UK,NA,NA,10,NA,NA,NA,non-musicians,volunteers,3,7,NA,Jazz,Western,NA,,Chara Steliou,audience effects; audience response; jazz; jazz musicians; live performance
The development of practising strategies in young peopl,2012,Psychology of Music,"Hallam, Susan",UK,UK,NA,NA,"3,325",13.4,2.7,junior conservatoire students,musicians,volunteers,"2,027","1,225",NA,NA,NA,NA,some didn’t indicate sex,Chara Steliou,concentration; development; expertise; motivation; practice
"Do prior experience, gender, or level of study influence music students’ perspectives on master classes?",2012,Psychology of Music,"Long, Marion",UK,UK,NA,NA,351,21.28,2.76,undergraduate and postgraduate students,musicians,volunteers,173,177,NA,NA,NA,NA,,Chara Steliou,conservatoire curriculum; master classes; postgraduate students; self-regulated learning
Fast and loud background music disrupts reading comprehension,2012,Psychology of Music,"Thompson, William Forde ",Australia,Australia,NA,NA,25,19.7,NA,undergraduate students,non-musicians,volunteers,16,9,NA,Classical,Western,precomposed,,Chara Steliou,background music; music and cognition; music and reading; reading comprehension
The effect of musical fit on consumers’ preferences between competing alternate petrols,2012,Psychology of Music,"Yeoh, Joanne P.S.",Malaysia,Malaysia,NA,NA,90,24.89,9.54,university students,non-musicians,volunteers,NA,NA,NA,Children's music; Rock,Western,precomposed,,Chara Steliou,choice; consumers; music; preference
Inside the collaborative inter-arts improvisatory process: Tertiary music students’ perspectives,2012,Psychology of Music,"Blom, Diana",Australia,Australia,NA,NA,17,NA,NA,undergraduate students,musicians,volunteers,9,8,NA,NA,NA,NA,,Chara Steliou,collaboration; inter-arts; learning; tertiary; transforming existing knowledge; transforming the individual
Music and moral judgment: The effect of background music on the evaluation of ads promoting unethical behavior,2012,Psychology of Music,"Ziv, Naomi",Israel,Israel,NA,NA,62,24.93,3.47,undergraduate students,non-musicians,course credit,37,19,NA,Classical,Western,precomposed,,Chara Steliou,attitudes; involvement; moral judgment; music; persuasion
Music and moral judgment: The effect of background music on the evaluation of ads promoting unethical behavior,2012,Psychology of Music,"Ziv, Naomi",Israel,Israel,NA,NA,120,25.5,NA,NA,NA,NA,86,34,NA,Soul,Western,precomposed,,Chara Steliou,attitudes; involvement; moral judgment; music; persuasion
Emotional Connotations of Diatonic Modes ,2013,Music Perception,"Temperley, David",US,US,US,NA,17,NA,NA,undergraduate students,non-musicians,paid,9,8,NA,European folk melodies,Western,experimenter-created,music created for study in Eastern European folk style but by US-based experimenters,Lizzy,"emotion, modality, scales, happiness, popular music"
The Effect of Timbre and Loudness on Melody Segregation,2013,Music Perception,"Marozeau, Jeremy",Australia,Australia,Australia,NA,37,31; 32.2,7.2; 7.9,adults,musicians; non-musicians,volunteer,20,17,NA,artificial,Western,experimenter-created,mean/SD ages reported according to groups: musicians; non-musicians,Lizzy,"auditory stream segregation, pychophysics, music training, cochlear implants, hearing impairment"
The Effect of Timbre and Loudness on Melody Segregation,2013,Music Perception,"Marozeau, Jeremy",Australia,Australia,Australia,NA,13,28,4.8,NA,musicians; non-musicians,volunteer,7,6,NA,artificial,Western,experimenter-created,,Lizzy,"auditory stream segregation, pychophysics, music training, cochlear implants, hearing impairment"
Mental Practice in Music Memorization: An Ecological-Empirical Study,2013,Music Perception,"Francesco Bernardi, Nicolo",Italy,Germany,Germany,NA,16,26,NA,right-handed pianists,musicians,volunteer,8,8,NA,classical,Western,precomposed,NA,Lizzy,"mental practice, mental imagery, music memorization, music performance, musicians' injuries"
Systematic Distortions in Musicians’ Reproduction of Cyclic Three-Interval Rhythms,2013,Music Perception,"Repp, Bruno",US,US,US,NA,14,NA,NA,musicians and rhythm experts,musicians,paid,6,8,NA,artificial,Western,experimenter-created,participant age ranges instead of means were reported: 21-66; 23-27,Lizzy,"rhythm production, interval ratios, synchronization, assimilation, attractor"
The Impact of the Bass Drum on Human Dance Movement,2013,Music Perception,"Van Dyck, Edith",Belgium,Belgium,Belgium,NA,100,25.43,8.01,adults; normal hearing,musicians; non-musicians,volunteer; paid,50,50,NA,club-like electronic,Western,experimenter-created,,Lizzy,"dance, bass drum, activity count, entrainment, joint action"
Facial Mimicry in Response to Song,2013,Music Perception,"Chan, Lisa P.",Canada,Canada,Canada,NA,37,21.6,4.4,undergraduate psychology testing pool,musicians,course credit; paid,37,0,NA,NA,Western,experimenter-created,"Stimuli consisted of audio-visual recordings of the
model target singing brief lyrical phrases set to a melody and an audible metronome.",Lizzy,"facial mimicry, emotion, song, EMG, facial expressions"
Can Musicians Track Two Different Beats Simultaneously?,2013,Music Perception,"Poudrier, Eve",US,US,US,NA,9,NA,NA,"graduate and postgraduate students; regular participants
in synchronization and rhythm perception experiments",musicians,paid,4,5,NA,artificial,Western,experimenter-created,NA,Lizzy,"polyrhythm, polymeter, auditory streaming, attention, beat induction"
Can Musicians Track Two Different Beats Simultaneously?,2013,Music Perception,"Poudrier, Eve",US,US,US,NA,10,NA,NA,8 participants from experiment 1 and two authors,musicians,NA,NA,NA,NA,artificial,Western,experimenter-created,NA,Lizzy,"polyrhythm, polymeter, auditory streaming, attention, beat induction"
Correspondence in Perception of the Tritone Paradox and Perfect-Fifth/Perfect-Fourth Intervals,2013,Music Perception,"Ragozzine, Frank",US,US,US,NA,5,19.4,NA,undergraduate students,NA,course credit; paid,4,1,NA,artificial,NA,experimenter-created,NA,Lizzy,"tritone paradox, perfect fifth, perfect fourth, proximity, octave related complex"
Correspondence in Perception of the Tritone Paradox and Perfect-Fifth/Perfect-Fourth Intervals,2013,Music Perception,"Ragozzine, Frank",US,US,US,NA,5,21.4,NA,undergraduate students,NA,course credit; paid,2,3,NA,artificial,NA,experimenter-created,NA,Lizzy,"tritone paradox, perfect fifth, perfect fourth, proximity, octave related complex"
Correspondence in Perception of the Tritone Paradox and Perfect-Fifth/Perfect-Fourth Intervals,2013,Music Perception,"Ragozzine, Frank",US,US,US,NA,25,NA,NA,students in psychology courses at university,NA,course credit,14,11,NA,artificial,NA,experimenter-created,NA,Lizzy,"tritone paradox, perfect fifth, perfect fourth, proximity, octave related complex"
Relations Between Musical Structures and Perceived and Felt Emotions,2013,Music Perception,"Kawakami, Ai",Japan,Japan,Japan,NA,24,33.8,9.2,NA,musicians ,NA,12,12,NA,NA,Western,experimenter-created,NA,Lizzy ,"musical emotions, perceived/felt emotions, musical structures, minor-key/dissonant/high-note density music, music experience"
Influence of Expressive Versus Mechanical Musical Performance on Short-term Memory for Musical Excerpts,2013,Music Perception,"Tillmann, Barbara",France,US,US,NA,86,NA,NA,undergraduate students in psychology courses,musicians,course credit,NA,NA,NA,classical,Western,precomposed,NA,Lizzy,"short-term memory, melodies, binding, expressivity, memory improvement"
"Speech, Song, and the Minor Third: An Acoustic Study of the Stylized Interjection",2013,Music Perception,"Day-O'Connell, Jeremy",US,UK,UK,NA,10,NA,NA,"native speakers of Southern British English, recruited from an introductory linguistics course",NA,paid,5,5,NA,NA,NA,experimenter-created,Participant age ranges instead of means were reported: 18-20/materials were sentences (not musical material),Lizzy,"music and language, minor third interval, calling contour, speech intonation, universals"
Cortical Activity During Perception of Musical Pitch: Comparing Musicians and Nonmusicians,2013,Music Perception,"Habibi, Assal",US,US,US,NA,40,20.1; 21.7,NA,native English speakers,musicians; non-musicians,course credit; paid,31,9,NA,classical,Western,experimenter-created,Mean ages given according to musicianship group,Lizzy,"auditory event-related potentials, electroencephalography, pitch perception, music training, pitch deviations"
Failure to Apply Signal Detection Theory to the Montreal Battery of Evaluation of Amusia May Misdiagnose Amusia ,2013,Music Perception,"Henry, Molly J.",US,US,US,NA,155,20.6; 20.4,3.3; 3.3,self-reported normal hearing,NA,course credit; paid,107,48,15.2;14.5,NA,Western,precomposed,"Mean ages/SD given according to condition; Participants had 4.2;3.9 mean yrs of musical training, but not explicitly stated if they are ""musicians""",Lizzy,"Montreal Battery of Evaluation of Amusia (MBEA); signal detection theory (SDT), amusia, ROC curves, music perception"
The Effect of Microtiming Deviations on the Perception of Groove in Short Rhythms ,2013,Music Perception,"Davies, Matthew",Portugal,Portugal,Portugal,NA,32,29.3,6,NA,non-musicians,paid,13,19,NA,artificial,Western,experimenter-created,NA,Lizzy,"groove, microtiming, movement, rhythm, listening experiment"
The Effect of Microtiming Deviations on the Perception of Groove in Short Rhythms ,2013,Music Perception,"Davies, Matthew",Portugal,NA,NA,NA,18,38.1,11.5,known to authors/targeted specifically for expertise,musicians,volunteer,1,16,NA,artificial,Western,experimenter-created,NA,Lizzy,"groove, microtiming, movement, rhythm, listening experiment"
Relationships Between Perceived Emotions in Music and Music-induced Movement ,2013,Music Perception,"Burger, Birgitta",Finland,Finland,Finland,NA,60,24,3.3,NA,musicians; non-musicians,paid,43,17,NA,techno; pop; rock; latin; funk; jazz,Western,precomposed,NA,Lizzy,"music, music-induced movement, motion capture, emotion, circumplex model of affect"
Relationships Between Perceived Emotions in Music and Music-induced Movement ,2013,Music Perception,"Burger, Birgitta",Finland,Finland,Finland,NA,34,25.7,5.9,musicology students; familiar with music and emotions research,NA,NA,17,17,NA,techno; pop; rock; latin; funk; jazz,Western,precomposed,NA,Lizzy,"music, music-induced movement, motion capture, emotion, circumplex model of affect"
An Empirical Study of Historical Patterns in Musical Rhythm: Analysis of German & Italian Classical Music Using the nPVI Equation ,2013,Music Perception,"Daniele, Joseph",US,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,classical,Western,precomposed,Corpus study,Lizzy,"musical rhythm, quantitative musicology, nPVI, historical trends, empirical musicology"
Is Higher Music Faster? Pitch–Speed Relationships in Western Compositions,2013,Music Perception,"Broze, Yuri",US,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,classical,Western,precomposed,Corpus study,Lizzy,"musical speed, musical voices, corpus study, pitch height, melody"
Is Higher Music Faster? Pitch–Speed Relationships in Western Compositions,2013,Music Perception,"Broze, Yuri",US,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,classical,Western,precomposed,Corpus study,Lizzy,"musical speed, musical voices, corpus study, pitch height, melody"
Diachronic Changes in Jazz Harmony: A Cognitive Perspective,2013,Music Perception,"Broze, Yuri",US,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,jazz,Western,precomposed,Corpus study,Lizzy,"corpus study, style change, implicit learning, transition possibilities, jazz harmony"
Auditory Streaming Cues in Eighteenth- and Early Nineteenth-Century String Quartets: A Corpus-Based Study,2013,Music Perception,"Duane, Ben",US,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,classical,Western,precomposed,Corpus study,Lizzy,"auditory stream segregation, hierarchical stream segregation, synchrony, pitch comodulation, spectral overlap"
The Use of Large Corpora to Train a New Type of Key-Finding Algorithm: An Improved Treatment of the Minor Mode,2013,Music Perception,"Albrecht, Joshua",US,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,classical,Western,precomposed,Corpus study,Lizzy,"key-finding, algorithm, computational methods, corpus study, minor mode"
Building a Representative Corpus of Classical Music,2013,Music Perception,"London, Justin",US,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,classical,Western,precomposed,Corpus study,Lizzy,"corpus, classical music, common practice period, historical styles, genres"
The Influence of Different Structural Features on Felt Musical Tension in Two Piano Pieces by Mozart and Mendelssohn ,2013,Music Perception,"Lehne, Moritz",Germany,Germany,Germany,NA,28,25.4,NA,NA,NA,course credit,16,12,NA,classical,Western,precomposed,"some participants had musical experience, but none were specified as musicians or nonmusicians",Lizzy,"musical tension, music-evoked emotion, continuous rating, structural features, loudness"
Development and Trial of a Mobile Experience Sampling Method (m-ESM) for Personal Music Listening ,2013,Music Perception,"Randall, William M.",Australia,Australia,Australia,NA,101,24.45,8.28,NA,NA,volunteer,63,38,NA,NA,NA,participant,study of everyday music listening- no explicit musical stimuli used,Lizzy,"music, emotion, experience sampling method, mobile phone, application"
Musical Imagery and the Planning of Dynamics and Articulation During Performance ,2013,Music Perception,"Bishop, Laura ",Austria,Australia,Australia,NA,29,33;32.2;28.4,NA,"expert pianists; intermediates, novices",musicians,course credit; paid,20,9,NA,classical,Western,precomposed,NA,Lizzy,"musical imagery, sensory feedback, expression, planning, musical expertise"
Individual Differences in Music Reward Experiences,2013,Music Perception,"Mas-Herrero, Ernest",Spain,Spain,Spain,NA,804,33.9,10,participants living in and around Barcelona,musicians; non-musicians,volunteer,426,328,NA,NA,NA,NA,study used a psychometric instrument to study music and reward experiences,Lizzy,"sensitivity to music, sensitivity to reward, individual differenes, musical reward, music processing"
Individual Differences in Music Reward Experiences,2013,Music Perception,"Mas-Herrero, Ernest",Spain,Spain,Spain,NA,605,20.5,3.3,"students of biology, chemistry, psychology, and biochemistry",NA,NA,411,194,NA,NA,NA,NA,study used a psychometric instrument to study music and reward experiences,Lizzy,"sensitivity to music, sensitivity to reward, individual differenes, musical reward, music processing"
Individual Differences in Music Reward Experiences,2013,Music Perception,"Mas-Herrero, Ernest",Spain,Spain,online (Europe and North America),NA,252,25,5,NA,NA,volunteer,164,88,NA,NA,NA,NA,study used a psychometric instrument to study music and reward experiences,Lizzy,"sensitivity to music, sensitivity to reward, individual differenes, musical reward, music processing"
Individual Differences in Music Reward Experiences,2013,Music Perception,"Mas-Herrero, Ernest",Spain,Spain,Spain/online,NA,857,NA,NA,sample is that of studies 2 and 3 combined,NA,NA,575,282,NA,NA,NA,NA,study used a psychometric instrument to study music and reward experiences,Lizzy,"sensitivity to music, sensitivity to reward, individual differenes, musical reward, music processing"
Empathy and Emotional Contagion as a Link Between Recognized and Felt Emotions in Music Listening ,2013,Music Perception,"Egermann, Hauke",Germany,Germany,online,NA,3164,32,12,NA,musicians; non-musicians,NA,1329,1835,NA,pop; rock; classical; jazz; latin; folk,Western,precomposed,NA,Lizzy,"emotion, music, emotional contagion, empathy, preference"
Loved music can make a listener feel negative emotions,2013,Musicae Scientiae,"Schubert, Emery",Australia,Australia,online,NA,60,22.3,4.6,"enrolled in either introductory, undergraduate, or postgraduate music course",NA,course credit,27,33,NA,NA,NA,participant,"study reports that some participants had taken music lessons, but does not group by musicianship; stimuli were the participants' own",Lizzy,"aesthetic emotions, cognitive theory, emotion locus, empathy, negative emotion in music, preference"
Affective reactions to musical stimuli reflect emotional use of music in everyday life,2013,Musicae Scientiae,"Saarikallio, Suvi",Finland,Finland,Finland,NA,44,24.05,3.14,healthy and normal hearing adults,musicians; non-musicians,NA,25,19,NA,pop; rock; classical; jazz; folk; electronic; atonal,Western,participant,stimuli were participants' own,Lizzy,"aesthetic responses, affective responses, emotion, mood regulation, music"
The ongoing life of participant-composed songs within and beyond the clinical setting,2013,Musicae Scientiae,"Baker, Felicity",Australia,Australia; Europe; US,US; Australia,NA,45,NA,NA,practicing music therapists,NA,volunteer,32,13,NA,NA,NA,NA,study was a qualitative interview study; no musical stimuli were used,Lizzy,"artefacts, clinical decisions, music therapy, songwriting, therapeutic risk"
Orchestra rehearsal strategies: Conductor and performer views,2013,Musicae Scientiae,"Biasutti, Michele",Italy,NA,NA,NA,20,NA,NA,professional performers of classical music with at least 10 years of orchestral conducting/performing experience; conductors with 10-31 years of professional orchestra experience and degrees from conservatory,musicians,NA,NA,NA,NA,NA,NA,NA,"participant age ranges were reported instead of means: performers (31 to 35), conductors (35-60); study did not use musical stimuli",Lizzy,"conductor, group study, orchestral performer, performance preparation, rehearsal strategy"
Inferring musical structure through bodily gestures,2013,Musicae Scientiae,"MacRitchie, Jennifer",Switzerland,UK,UK,NA,9,NA,NA,"highly trained pianists; Masters students at the local conservatoire, music students at local universities and highly practised amateurs; at least 10 years performing experience",musicians,paid,NA,NA,NA,classical,Western,precomposed,NA,Lizzy,"embodiment, gesture, musical structure, phrasing, principal components analysis"
Processing musical form: Behavioural and neurocognitive approaches,2013,Musicae Scientiae,"Neuhaus, Christiane",Germany,Germany,Germany,NA,20,25.9,2.29,"students of University of Leipzig; 5 subjects played musical instrument, others no musical training",non-musicians,NA,10,10,NA,classical,Western,precomposed,some melodies sampled from original compositions were slightly modified according to experimental conditions,Lizzy,"anterior N300, chunking, event-related potentials, musical form, musical phrase, pattern"
