PaperTitle,Year,Journal,FirstAuthorName_cleaned,FirstAuthorCountry,CountryDataCollected,SamplePrimaryCountryofOrigin,Ethnicity,SampleSize,SampleAgeMean,SampleAgeSD,FemaleParticipantsNumber,MaleParticipantsNumber,SampleMusicianshipDescription,SamplingMethodDescription,SampleOtherDescription,MeanYearsEducation,MusicPrimaryGenre,MusicOriginCountry,MusicSource,Comments,CoderName,Keywords
Memory Improvement While Hearing Music: Effects of Structural Continuity on Feature Binding,2014,Music Perception,"Dowling, W. Jay",US,US,NA,NA,44,24.8,NA,NA,NA,NA,NA,undergraduate students,NA,classical,NA,precomposed,This paper had 8 experiements,Ramatally,"memory, music, binding, features, contour"
Memory Improvement While Hearing Music: Effects of Structural Continuity on Feature Binding,2014,Music Perception,"Dowling, W. Jay",US,US,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,classical,NA,experimenter-created; precomposed,,Ramatally,"memory, music, binding, features, contour"
Memory Improvement While Hearing Music: Effects of Structural Continuity on Feature Binding,2014,Music Perception,"Dowling, W. Jay",US,US,NA,NA,37,NA,NA,NA,NA,NA,NA,NA,NA,classical,NA,experimenter-created; precomposed,,Ramatally,"memory, music, binding, features, contour"
Memory Improvement While Hearing Music: Effects of Structural Continuity on Feature Binding,2014,Music Perception,"Dowling, W. Jay",US,US,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,classical,NA,experimenter-created; precomposed,,Ramatally,"memory, music, binding, features, contour"
Memory Improvement While Hearing Music: Effects of Structural Continuity on Feature Binding,2014,Music Perception,"Dowling, W. Jay",US,US,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,classical,NA,experimenter-created; precomposed,,Ramatally,"memory, music, binding, features, contour"
Memory Improvement While Hearing Music: Effects of Structural Continuity on Feature Binding,2014,Music Perception,"Dowling, W. Jay",US,US,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,classical,NA,experimenter-created; precomposed,,Ramatally,"memory, music, binding, features, contour"
Memory Improvement While Hearing Music: Effects of Structural Continuity on Feature Binding,2014,Music Perception,"Dowling, W. Jay",US,US,NA,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,classical,NA,experimenter-created; precomposed,,Ramatally,"memory, music, binding, features, contour"
Memory Improvement While Hearing Music: Effects of Structural Continuity on Feature Binding,2014,Music Perception,"Dowling, W. Jay",US,US,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,classical,NA,experimenter-created; precomposed,,Ramatally,"memory, music, binding, features, contour"
The Sound of Emotion: The Effect of Performers’ Experienced Emotions on Auditory Performance Characteristics,2014,Music Perception,"G. W. Van Zijl, Anemone",Finland,Finland,Finland,NA,8,24.3,1.8,8,0,musicians,NA,NA,NA,classical,Western,precomposed,,Ramatally,"audio analysis, felt emotion, expressive performance, emotional performance, performing music"
Performing Musical Dynamics: How Crucial are Musical Imagery and Auditory Feedback for Expert and Novice Musicians?,2014,Music Perception,"Bishop, Laura",Austria,NA,NA,NA,24; 25,30.7; 22.2,10.1; 9.0,32,17,musicians,NA,NA,11.9; 3.1,NA,Western,other,Participants were in two groupings. Experiment material consist of scales,Ramatally,"musical imagery, auditory feedback, planning, musical expertise, expressive"
The Coupling of Action and Perception in Musical Meaning Formation,2014,Music Perception,"Maes, Pieter-Jan",Belgium,Belgium,Belgium,NA,18; 18,23.8; 24.6,3.7; 4.8,16,20,musicians; non-musicians,NA,university students,9.7; 0,NA,Western,precomposed,Participants were in two groupings ,Ramatally,"embodied music cognition, expressive gestures, action-perception coupling, musical metaphor, musical expressiveness"
Synchronous Sympathy at the Symphony: Conductor and Audience Accord,2014,Music Perception,"Nakra, Teresa Marrin ",US,US,US,NA,32,32,NA,18,12,NA,NA,audience,3.7,classical,Western,precomposed,"emotional responses to music, heart rate, slider box, affective symphony, wearable sensing",Ramatally,
Age and Musical Expertise Influence Emotion Recognition in Music,2014,Music Perception,"Castro, Sao Luis",Portugal,NA,NA,NA,20; 20; 20; 20,22.7; 47; 23.4; 48.4,2.8; 4; 3.6; 4.8 ,40,40,musicians; non-musicians,NA,NA,0; 0; 11.3; 12.6,NA,NA,precomposed,"Participants were in 4 groups non-musicians (younger), non-musicians (older), musicians (younger), musicians (older). It was not clear if 10 women were in each group or if 10 women existed in the study.",Ramatally,
"Polyphonic Voice Multiplicity, Numerosity, and Musical Emotion Perception",2014,Music Perception,"Broze, Yuri",US,US,NA,NA,28,NA,NA,17,11,NA,course credit,undergraduate students,NA,classical,NA,precomposed,This paper had 3 experiements,Ramatally,"musical emotion, musical voices, multiplicity, numerosity, denumberability, loneliness, Well-Tempered Clavier"
"Polyphonic Voice Multiplicity, Numerosity, and Musical Emotion Perception",2014,Music Perception,"Broze, Yuri",US,US,NA,NA,37,20,NA,NA,NA,musicians,course credit,undergraduate students,NA,classical,NA,precomposed,,Ramatally,"musical emotion, musical voices, multiplicity, numerosity, denumberability, loneliness, Well-Tempered Clavier"
"Polyphonic Voice Multiplicity, Numerosity, and Musical Emotion Perception",2014,Music Perception,"Broze, Yuri",US,US,NA,NA,24,20,NA,10,14,NA,course credit,undergraduate students,NA,classical,NA,precomposed,,Ramatally,"musical emotion, musical voices, multiplicity, numerosity, denumberability, loneliness, Well-Tempered Clavier"
Mode of Presentation Affects Infants’ Preferential Attention to Singing and Speech,2014,Music Perception,"Costa-Giomi, Eugenia",US,US,US,NA,12,0.942465753,NA,6,6,NA,NA,infants,NA,folk,Western,precomposed,This paper had 3 experiments. Mean age is in days,Ramatally,"auditory development, music, singing, speech, multimodal perception"
Mode of Presentation Affects Infants’ Preferential Attention to Singing and Speech,2014,Music Perception,"Costa-Giomi, Eugenia",US,US,US,NA,12,0.928767123,NA,6,6,NA,NA,infants,NA,folk,Western,precomposed,,Ramatally,"auditory development, music, singing, speech, multimodal perception"
Mode of Presentation Affects Infants’ Preferential Attention to Singing and Speech,2014,Music Perception,"Costa-Giomi, Eugenia",US,US,US,NA,24,0.950684932,NA,12,12,NA,NA,infants,NA,folk,Western,precomposed,,Ramatally,"auditory development, music, singing, speech, multimodal perception"
Musical Emotions Predicted by Feelings of Entrainment,2014,Music Perception,"Labbe, Carolina",Switzerland,Switzerland,Switzerland,NA,61; 38,23.6; 23.4,4.8; 5.6,119,0,NA,NA,university students,NA,classical,NA,precomposed,,Ramatally,"music, emotion, rhythm, entrainment, questionnaire"
Absolute Judgment of Musical Interval Width,2014,Music Perception,"Aruffo, Christopher",Canada,Canada,Canada,NA,41,22.14,NA,20,21,NA,paid,university students,NA,artificial,NA,experimenter-created,,Ramatally,"absolute pitch, relative pitch, categorical perception, music perception, music cognition"
"Effects of Polyphonic Context, Instrumentation, and Metrical Location on Syncopation in Music",2014,Music Perception,"Witek, Maria A. G. ",UK,UK,UK,NA,29,24.75,3.32,12,17,musicians; non-musicians,volunteer,university students,NA,artificial,NA,experimenter-created,,Ramatally,"syncopation, rhythm, meter, polyphony, instrumentation"
Affective constraints on acquisition of musical concepts: Children’s and adults’ development of the major–minor distinction,2014,Psychology of Music,"Thompson, Clarissa A.",US,US,NA,NA,64,20.25,2.29,34,30,NA,NA,adults,NA,NA,Western,experimenter-created,Study consisted of 2 experiements. Both experiements had material consistingof scales and unclassified melody,Ramatally,"constraints, development, learning, major–minor distinction, microgenetic method, musical cognition"
Affective constraints on acquisition of musical concepts: Children’s and adults’ development of the major–minor distinction,2014,Psychology of Music,"Thompson, Clarissa A.",US,US,NA,NA,64; 64; 48,19.32; 10.25; 5.7,1.41; 0.54; 0.49,100,76,NA,NA,adults; children,NA,NA,Western,experimenter-created,,Ramatally,"constraints, development, learning, major–minor distinction, microgenetic method, musical cognition"
Congruency between instrumental background music and behavior on a website,2014,Psychology of Music,"Gueguen, Nicolas",France,France,France,NA,120,18.9,0.9,73,47,NA,volunteer,undergraduate students,NA,jazz; djembe ,NA,precomposed,,Ramatally,"congruence, consumer’s decision, influence, music, website"
Seeking professional fulfillment: US symphony orchestra members in schools,2014,Psychology of Music,"Abeles, Harold",US,US,US,NA,47,NA,NA,16,31,musicians,NA,NA,NA,NA,NA,NA,,Ramatally,"artistic integrity, community service, creativity, education programs, job satisfaction, orchestra musicians, social responsibility"
Music and felt emotions: How systematic pitch level variations affect the experience of pleasantness and arousal,2014,Psychology of Music,"Jaquet, Lucas",Switzerland,Switzerland,Switzerland,NA,49,23.3,NA,25,24,NA,paid,undergraduate students,NA,classical,Western,precomposed,,Ramatally,"emotion, valence, arousal, pitch level, gender differences"
"The influence of stress, optimism, and music training on music uses and preferences",2014,Psychology of Music,"Getz, Laura M.",US,US,US,white,154,18.95,0.96,124,30,NA,NA,undergraduate students,NA,NA,NA,NA,,Ramatally,"music preferences, music training, music uses, optimism, stress"
A longitudinal study of the process of acquiring absolute pitch: A practical report of training with the ‘chord identification method’,2014,Psychology of Music,"Sakakibara, Ayako",Japan,Japan,Japan,NA,24,NA,NA,17,7,NA,NA,children,NA,NA,NA,NA,,Ramatally,"absolute pitch, chord identification, training to acquire absolute pitch"
Listeners as spectators? Audio-visual integration improves music performer identification,2014,Psychology of Music,"Mitchell, Helen F. ",Australia,Australia; UK,NA,NA,50,27,NA,NA,NA,musicians,NA,NA,NA,jazz,NA,experimenter-created,,Ramatally,"audiovisual integration, auditory recognition, music perception, music performance, visual recognition"
Listeners as spectators? Audio-visual integration improves music performer identification,2014,Psychology of Music,"Mitchell, Helen F. ",Australia,Australia,NA,NA,20,34,NA,NA,NA,NA,volunteer,university students,NA,jazz,NA,experimenter-created,,Ramatally,"audiovisual integration, auditory recognition, music perception, music performance, visual recognition"
"The older, the wiser? Profiles of string instrument teachers with different experience according to their conceptions of teaching, learning, and evaluation",2014,Psychology of Music,"Lopez-Iniguez, Guadalupe ",Spain,Spain,Spain,NA,53,36.94,6.95,31,22,musicians,NA,NA,NA,NA,NA,NA,,Ramatally,"conceptual change, conceptions of teaching, learning, evaluation, constructivism, music conservatories, teaching experience, string instrument teachers"
Developing identities using music technology in therapeutic settings,2014,Psychology of Music,"Burland, Karen",UK,UK,UK,NA,6,NA,NA,4,2,NA,NA,clinicians,NA,NA,NA,NA,,Ramatally,"identity construction, motivation, repairing identities, social identity"
Music and language: Do they draw on similar syntactic working memory resources?,2014,Psychology of Music,"Fiveash, Anna",Australia,Australia,Australia,NA,61,22.6,NA,NA,NA,musicians; non-musicians,NA,NA,NA,artificial,NA,experimenter-created,,Ramatally,"memory, musicians, phonological loop, shared syntactic integration resource hypothesis, syntax"
Psychological well-being in professional orchestral musicians in Australia: A descriptive population study,2014,Psychology of Music,"Kenny, Dianna T.",Australia,Australia,Australia,NA,377,42.1,10.3,192,184,musicians,NA,NA,NA,NA,NA,NA,,Ramatally,"anxiety, depression, music performance anxiety, professional orchestral musicians, psychosocial well-being"
The effect of subtitles on listeners’ perceptions of expressivity,2014,Psychology of Music,"Silveira, Jason M.",US,US,US,NA,103,NA,NA,NA,NA,NA,NA,university students,NA,classical,Western,precomposed,,Ramatally,"CRDI, expressivity, focus of attention, perceptions, subtitles"
Looking at the (mis) fortunes of others while listening to music,2014,Psychology of Music,"Arriaga, Patricia",Portugal,Portugal,Portugal,NA,65,24.9,2.91,36,27,NA,volunteer,NA,NA,classical,Western,precomposed,,Ramatally,"emotions, eye movements, intermodal perception, music, visual attention"
The psychological benefits of participating in group singing for members of the general public,2014,Psychology of Music,"Judd, Marianne",Australia,Australia,Australia,NA,10,54,NA,6,4,musicians,NA,NA,NA,NA,NA,NA,,Ramatally,"choirs, general public, group singing, wellbeing"
Does music training enhance working memory performance? Findings from a quasi-experimental longitudinal study,2014,Psychology of Music,"Roden, Ingo",Germany,Germany,Germany,NA,50,NA,NA,27,23,NA,NA,children,NA,NA,NA,NA,,Ramatally,"central executive, cognitive development, instrumental music training, phonological loop, visuospatial sketchpad, working memory"
In pursuit of harmony: The social and organisational factors in a professional vocal ensemble,2014,Psychology of Music,"Chern Lim, Mei",UK,UK,UK,NA,8,NA,NA,4,4,musicians,NA,NA,NA,NA,NA,NA,,Ramatally,"chamber music, collaboration, group dynamics, professional ensembles, team effectiveness, work groups"
Music-induced analgesia in chronic pain: Efficacy and assessment through a primary-task paradigm,2014,Psychology of Music,"Finlay, Katherine A. ",UK,UK,UK,NA,23,48.4,14.43,21,2,NA,NA,NA,NA,jazz,Western,precomposed,,Ramatally,"attention, audio-analgesia, chronic pain, distraction, music-induced analgesia, visual search"
"Changes in self-efficacy beliefs over time: Contextual influences of gender, rank-based placement, and social support in a competitive orchestra environment",2014,Psychology of Music,"Hendricks, Karin S.",US,US,US,NA,157,NA,NA,68,89,musicians,NA,university students,NA,NA,NA,NA,,Ramatally,"competition, orchestra, social support, sources of self-efficacy"
Learning to discern and account: The trajectory of a listening skill in an institutional setting,2014,Psychology of Music,"Wallerstedt, Cecilia",Sweden,Sweden,Sweden,NA,27,NA,NA,12,15,NA,NA,children,NA,folk; classical; contemporary,NA,precomposed,Swedish congratulations song was considered a 'genre' in this study,Ramatally,"cultural tools, development, listening, metre, sociocultural"
Music motivation and the effect of writing music: A comparison of pianists and guitarists,2014,Psychology of Music,"MacIntyre, Peter D.",Canada,Canada,Canada,NA,599,NA,NA,162,432,NA,NA,NA,NA,NA,NA,NA,,Ramatally,"autonomy, competence, intrinsic, motivation, musical self, relatedness, self-determination, writing music"
Psychological and physiological effects of singing in a choir,2014,Psychology of Music,"Muhip√äSanal, Ahmet",Turkey,Turkey,Turkey,NA,70,21,NA,48,22,musicians,NA,university students,NA,folk,Turkey,precomposed,,Ramatally,"amylase, anxiety, choir, negative affect, positive affect"
"Scaffolding, organizational structure and interpersonal interaction in musical activities with older people",2014,Psychology of Music,"Creech, Andrea",UK,UK,UK,white,398,NA,NA,NA,NA,musicians; non-musicians,NA,NA,NA,NA,Western,precomposed,Study consisted of musical group activities however did not elicitly state what type of music was involved,Ramatally,"community music, facilitators, older learners, organisational structure, scaffolding"
Investigating the influence of musical training on cross-modal correspondences and sensorimotor skills in a real-time drawing paradigm,2014,Psychology of Music,"Kussner, Mats B.",UK,UK,UK,NA,73,28.51,7.71,42,31,NA,NA,university+,NA,artificial; classical,Western,semi-precomposed,,Ramatally,"cross-modal correspondences, musical training, real-time drawing, sensorimotor skills, time perception"
Da capo: A musical technique to evoke narrative recall,2014,Psychology of Music,"Pilcher, Nick",UK,UK,UK,Asian,15,NA,NA,5,10,NA,NA,university students,NA,classical,Western,precomposed,,Ramatally,"Chinese, interviewing, music, narratives, students"
The contributions of compositional structure and performance expression to the communication of emotion in music,2014,Psychology of Music,"Quinto, Lena",Australia,Australia,Australia,NA,8,27.63,9.08,NA,NA,musicians,NA,NA,15,NA,NA,other,,Ramatally,"acoustic cues, composition, emotion perception, music cognition, performance expression"
How music changes our lives: A qualitative study of the long-term effects of intense musical experiences,2014,Psychology of Music,"Schafer, Thomas",Germany,Germany,Germany,NA,13,37.3,NA,7,6,NA,NA,NA,NA,NA,NA,NA,,Ramatally,"altered states of consciousness, grounded theory, intense experiences, peak experiences, spirituality"
Learning to make music in older adulthood: A mixed-methods exploration of impacts on wellbeing,2014,Psychology of Music,"Perkins, Rose",UK,UK,NA,NA,98,67.87,8.76,74,22,NA,NA,adults,NA,NA,NA,other,,Ramatally,"health promotion, mixed-methods, music learning, older adults, subjective wellbeing"
Learning to make music in older adulthood: A mixed-methods exploration of impacts on wellbeing,2014,Psychology of Music,"Perkins, Rose",UK,UK,NA,NA,21,64.38,NA,NA,NA,NA,NA,adults,NA,NA,NA,other,,Ramatally,"health promotion, mixed-methods, music learning, older adults, subjective wellbeing"
Frightened by the stage or by the public? Exploring the multidimensionality of music performance anxiety,2014,Psychology of Music,"Sarbescu, Paul",Romania,Romania,Romania,NA,134,16.41,1.21,89,45,musicians,NA,university students,6.02,NA,NA,NA,,Ramatally,"five-factor model, multidimensionality, music performance anxiety, personality"
Perception of a tonal hierarchy derived from Korean music,2014,Psychology of Music,"Lantz, Michael E.",US,US,South Korea; US,NA,12; 12,22.1; 23.3,3.4; 3.5,9; 9,3; 3,NA,paid; course credit,NA,NA,NA,Korea,semi-precomposed,Experiments consisted of two groups: Western-familiar listeners and Korean-familiar listeners,Ramatally,"cross cultural, duration, pitch structure, probe-tone technique, tonal hierarchy"
Perception of a tonal hierarchy derived from Korean music,2014,Psychology of Music,"Lantz, Michael E.",US,US,South Korea; US,NA,12; 12,21.8; 22.2,2.9; 2.6,6; 11,6; 1,NA,paid; course credit,NA,NA,NA,Korea,semi-precomposed,,Ramatally,"cross cultural, duration, pitch structure, probe-tone technique, tonal hierarchy"
What makes music emotionally significant? Exploring the underlying mechanisms,2014,Psychology of Music,"Juslin, Patrik N.",Sweden,Sweden,Sweden,NA,20,28,NA,10,10,NA,paid; course credit,university students,NA,classical,Western,precomposed,,Ramatally,"affect, expectancy, listening, psychophysiology, theory"
Performance anxiety in adolescent musicians,2014,Psychology of Music,"Thomas, Jason P.",Australia,Australia,Australia,NA,90,15.1,1.25,49,41,musicians,volunteer,university students,NA,NA,NA,NA,,Ramatally,"coping, Music Performance Anxiety Inventory for Adolescents, personality, sex differences, trait anxiety"
Pleasure generated by sadness: Effect of sad lyrics on the emotions induced by happy music,2014,Psychology of Music,"Mori, Kazuma",Japan,Japan,Japan,NA,53,22.55,1.97,30,23,NA,NA,university students,NA,pop; rock,NA,precomposed,,Ramatally,"emotion, happy, lyrics, music, pleasure, sadness"
Experiencing earworms: An interview study of Involuntary Musical Imagery,2014,Psychology of Music,Williamson. Victoria J.,UK,UK,UK,NA,6,42.6,NA,3,3,NA,NA,NA,NA,NA,NA,NA,,Ramatally,"auditory imagery, earworms, Involuntary Musical Imagery, grounded theory, musical experience"
Emotion regulation strategy mediates both positive and negative relationships between music uses and well-being,2014,Psychology of Music,"Chin, Tan-Chyuan",Australia,Australia,Australia,NA,637,23.93,5.82,493,144,musicians,NA,university students,NA,NA,NA,NA,,Ramatally,"emotion regulation, reappraisal, suppression, music engagement, well-being"
Tempo and intensity of pre-task music modulate neural activity during reactive task performance,2014,Psychology of Music,"Bishop, Daniel T. ",UK,UK,UK,white,12,21.2,3,6,6,NA,NA,NA,NA,pop,Western,precomposed,,Ramatally,"affect, basal ganglia, emotion, fMRI, sport"
Background music can aid second language learning,2014,Psychology of Music,"Kang, Hi Jee",UK,UK,NA,NA,16; 16,22.94; 27.13,NA,20,12,NA,paid,NA,NA,NA,Western,other,,Ramatally,"background music, musicality, second language learning, tonal language, verbal memory"
Metacognitive judgments in music performance,2014,Psychology of Music,"Peynircioglu, Zehra F.",US,US,US,NA,18,NA,NA,NA,NA,musicians,course credit; volunteer,university students,NA,NA,Western,precomposed,This study consisted of 3 experiments,Ramatally,"metacognition, ease of learning, judgment of learning, music performance, music"
Metacognitive judgments in music performance,2014,Psychology of Music,"Peynircioglu, Zehra F.",US,US,US,NA,22,NA,NA,NA,NA,musicians,course credit; volunteer,university students,NA,NA,Western,precomposed,,Ramatally,"metacognition, ease of learning, judgment of learning, music performance, music"
Metacognitive judgments in music performance,2014,Psychology of Music,"Peynircioglu, Zehra F.",US,US,US,NA,20,NA,NA,NA,NA,musicians,course credit; volunteer,university students,NA,NA,Western,semi-precomposed,,Ramatally,"metacognition, ease of learning, judgment of learning, music performance, music"
"Music therapy trios with child, parent and therapist: A preliminary qualitative single case study",2014,Psychology of Music,"Flower, Claire",UK,UK,UK,NA,3,NA,NA,NA,NA,NA,NA,patients,NA,NA,NA,NA,,Ramatally,"children, music therapy, parental involvement, video elicitation interviews"
Can you hear me? Effects of hearing impairments on verbal and non-verbal communication during collaborative musical performance,2014,Psychology of Music,"Fulford, Robert",UK,UK,UK,NA,6,NA,NA,NA,NA,musicians,NA,university students,NA,classical,Western,precomposed,,Ramatally,"audio/visual, collaborative performance, communication, deafness/hearing impairment, speech"
Music therapy and children with a language impairment: Some examples of musical communication in action,2014,Psychology of Music,"Wetherick, Donald",UK,UK,UK,NA,2,5.1,NA,NA,2,NA,NA,children,NA,NA,NA,NA,,Ramatally,"behaviour change, improvisation, language impairment, music therapy, non-verbal communication"
Affect-matching music improves cognitive performance in adults and young children for both positive and negative emotions,2014,Psychology of Music,"Franco, Fabia",UK,UK,UK,NA,92,NA,NA,NA,NA,NA,NA,university students,NA,NA,NA,other,This study consisted of 3 experiments,Ramatally,"arousal, central executive, child development, emotion, Mozart effect"
Affect-matching music improves cognitive performance in adults and young children for both positive and negative emotions,2014,Psychology of Music,"Franco, Fabia",UK,UK,NA,NA,40,3.93,0.89,20,20,NA,NA,children,NA,NA,NA,other,,Ramatally,"arousal, central executive, child development, emotion, Mozart effect"
Affect-matching music improves cognitive performance in adults and young children for both positive and negative emotions,2014,Psychology of Music,"Franco, Fabia",UK,UK,NA,NA,40,3.7,0.78,13,27,NA,NA,children,NA,NA,NA,other,,Ramatally,"arousal, central executive, child development, emotion, Mozart effect"
Symbolic and Motor Contributions to Vocal Imitation in Absolute Pitch ,2015,Music Perception,"Hutchins, Sean",Canada,Canada,Canada,NA,37,22.97,3.63,17,20,musicians,volunteer,university students,NA,artificial,NA,experimenter-created,,Joshua Schlichting,absolute pitch; singing; tuning; perception and production; Linked Dual Representation model
The Relationship Between Children’s Use of Singing Voice and Singing Accuracy ,2015,Music Perception,"Rutkowski, Joanne ",US,US,US,NA,75,NA,NA,NA,NA,non-musicians,other; other,children,NA,artificial; childrens,Western,experimenter-created,,Joshua Schlichting,"children’s singing; singing registers; singing
accuracy; music aptitude; early childhood music"
Singing Accuracy Development from K-Adult: A Comparative Study,2015,Music Perception,"Demorest, Steven",US,US,US,white,210,NA,NA,NA,NA,non-musicians,course credit; NA; NA,adults; children,NA,artificial,NA,experimenter-created,,Joshua Schlichting,"music cognition; music education; singing
accuracy; singing development; tone deafness"
"Music and People with Tendencies
to Depression",2015,Music Perception,"Garrido, Sandra",Australia,Australia,NA,NA,175,20.9,NA,103,72,musicians; non-musicians,course credit,university+,NA,NA,NA,precomposed,,Joshua Schlichting,"depression; mood regulation; rumination;
absorption; sad music"
Experiments on the Relationship between Perde and Seyir in Turkish Makam Music,2015,Music Perception,"Akkoc, Can",Turkey,online,Turkey,other,3,76.7,12.7,0,3,musicians,volunteer,NA,NA,makam,Turkey,semi-precomposed,"4 experiments all used the same participants and similar music, so only coded once",Joshua Schlichting,"Turkish makam recognition; AEU system;
recognition of scale and key by experts; motif in Turkish music; taksim (improvisation)"
The Effects of Absolute Pitch and Tone Language on Pitch Processing and Encoding in Musicians ,2015,Music Perception,"Hutka, Stefanie A.",Canada,Canada,NA,NA,32,22.53,0.51,17,15,musicians,paid,NA,17.25,artificial,NA,experimenter-created,,Joshua Schlichting,"absolute pitch; tone language; musicians;
pitch processing; memory encoding"
Low-Skip Bias: The Distribution of Skips Across the Pitch Ranges of Vocal and Instrumental Melodies is Vocally Constrained,2015,Music Perception,"Ammirante, Raolo,",Canada,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,classical; folk,Western,precomposed,,Joshua Schlichting,skips; pitch range; vocal; instrumental; composition
"An Interlanguage Unification of Musical Timbre: Bridging Semantic, Perceptual, and Acoustic Dimensions",2015,Music Perception,"Zacharakis, Asterios",Greece,Greece; UK,Greece; UK,white,33; 22,24; 30,NA; NA,19; 6,NA; NA,musicians,NA,NA,NA,artificial,NA,experimenter-created,,Joshua Schlichting,"musical timbre perception, timbre spaces,
multidimensional scaling; semantic description; acoustic correlates"
Pitch: A Key Factor in Tonality Induction,2015,Music Perception,"Anta, J. Fernando",Argentina,Argentina,Argentina,NA,35,25,NA,NA,NA,musicians,volunteer,undergraduate students,NA,classical,Western,semi-precomposed,,Joshua Schlichting,"pitch class distribution; interval class vector;
pitch class ordering; pitch contour; pitch proximity"
Pitch: A Key Factor in Tonality Induction,2015,Music Perception,"Anta, J. Fernando",Argentina,Argentina,Argentina,NA,35,24,NA,NA,NA,musicians,volunteer,undergraduate students,NA,classical,Western,semi-precomposed,,Joshua Schlichting,"pitch class distribution; interval class vector;
pitch class ordering; pitch contour; pitch proximity"
Neural Transformation of Dissonant Intervals in the Auditory Brainstem,2015,Music Perception,"Lee, Kyung Myun",South Korea,US,NA,NA,10,26.5,3.47,7,3,musicians,NA,NA,NA,artificial,NA,experimenter-created,,Joshua Schlichting,auditory brainstem response; musical intervals; sensory consonance; periodicity; nonlinearity
Context Dependent Pitch Perception in Consonant and Dissonant Harmonic Intervals,2015,Music Perception,"Seror III, George A.",US,US,NA,NA,28,NA,NA,NA,NA,musicians; non-musicians,course credit,undergraduate students,NA,artificial,NA,experimenter-created,,Joshua Schlichting,consonance; dissonance; music cognition; perceptual fluency; pitch perception
Context Dependent Pitch Perception in Consonant and Dissonant Harmonic Intervals,2015,Music Perception,"Seror III, George A.",US,US,NA,NA,32,NA,NA,NA,NA,musicians; non-musicians,course credit,undergraduate students,NA,artificial,NA,experimenter-created,,Joshua Schlichting,consonance; dissonance; music cognition; perceptual fluency; pitch perception
Catching the Lyrics: Intelligibility in Twelve Song Genres ,2015,Music Perception,"Condit-Schultz, Nathaniel",US,US,NA,NA,30,NA,NA,NA,NA,NA,course credit; other,undergraduate students,NA,avant-garde; blues; classical; country; folk; jazz; pop; rock; RnB; rap; reggae; religious; theatre,Western,precomposed,,Joshua Schlichting,intelligibility; lyrics; singing; music; genre
Catching the Lyrics: Intelligibility in Twelve Song Genres ,2015,Music Perception,"Condit-Schultz, Nathaniel",US,US,NA,NA,16,NA,NA,NA,NA,NA,course credit; other,undergraduate students,NA,avant-garde; blues; classical; country; folk; jazz; pop; rock; RnB; rap; reggae; religious; theatre,Western,precomposed,,Joshua Schlichting,intelligibility; lyrics; singing; music; genre
General Reward Sensitivity Predicts Intensity of Music-Evoked Chills,2015,Music Perception,"Mori, Kazuma",Japan,Japan,NA,NA,327,19.05,1.36,135,181,musicians; non-musicians,course credit,undergraduate students,NA,NA,NA,NA,,Joshua Schlichting,emotion; musical chill; individual difference; behavioral activation system; reward responsiveness
General Reward Sensitivity Predicts Intensity of Music-Evoked Chills,2015,Music Perception,"Mori, Kazuma",Japan,Japan,NA,NA,32,18.84,0.78,18,14,musicians; non-musicians,paid,undergraduate students,NA,NA,NA,precomposed,"participant-chosen music, no details reported",Joshua Schlichting,emotion; musical chill; individual difference; behavioral activation system; reward responsiveness
The Impact of Simple Pair-Association in the Acquisition of Absolute Pitch: A Training Study with Adult Nonmusicians,2015,Music Perception,"Bittrich, Katrin",Germany,Germany,NA,NA,20,NA,NA,14,6,non-musicians,NA,university students,NA,artificial,NA,experimenter-created,,Joshua Schlichting,absolute pitch; training; pair-association; adaptive training; nonmusicians
"Music Preference, Social Identity, and Self-Esteem",2015,Music Perception,"Shepherd, Daniel",New Zealand,New Zealand,NA,NA,199,19.13,NA,157,42,NA,volunteer,university students,NA,NA,NA,NA,,Joshua Schlichting,music preference; self-esteem; music genres; social identity theory; Rosenberg self-esteem scale
Effects of Emergent-Level Structure on Melodic Processing Difficulty,2015,Music Perception,"Russo, Frank A.",Canada,Canada,NA,NA,24,21.55,NA,15,9,musicians; non-musicians,course credit; paid,undergraduate students,NA,artificial,NA,experimenter-created,,Joshua Schlichting,melody; hierarchical structure; memory; cohesion; expectancy
Effects of Emergent-Level Structure on Melodic Processing Difficulty,2015,Music Perception,"Russo, Frank A.",Canada,Canada,NA,NA,30,19.2,NA,26,4,musicians; non-musicians,course credit,undergraduate students,NA,artificial,NA,experimenter-created,same stimuli as in Experiment 1,Joshua Schlichting,melody; hierarchical structure; memory; cohesion; expectancy
Effects of Emergent-Level Structure on Melodic Processing Difficulty,2015,Music Perception,"Russo, Frank A.",Canada,Canada,NA,NA,32,20.75,NA,26,6,musicians; non-musicians,course credit,undergraduate students,NA,artificial,NA,experimenter-created,,Joshua Schlichting,melody; hierarchical structure; memory; cohesion; expectancy
