"","PaperTitle","Year","Journal","FirstAuthorName_cleaned","FirstAuthorCountry","CountryDataCollected","SamplePrimaryCountryofOrigin","Ethnicity","SampleSize","SampleAgeMean","SampleAgeSD","FemaleParticipantsNumber","MaleParticipantsNumber","SampleMusicianshipDescription","SamplingMethodDescription","SampleOtherDescription","MeanYearsEducation","MusicPrimaryGenre","MusicOriginCountry","MusicSource","Comments","CoderName","Keywords"
"159","Working Memory for Tonal and Atonal Sequences during a Forward and a Backward Recognition Task",2012,"Music Perception","Schulze, Katrin","France","France","France",NA,"20","20","2.85",NA,NA,"non-musicians",NA,"university students","2.25","artificial","Western","experimenter-created","Article states material (tone sequences of midi instruments) was made in a Western tonal and atonal system by experimenters","CK","working memory for auditory material; musical structure; expertise; nonmusicians; musicians"
"160","Working Memory for Tonal and Atonal Sequences during a Forward and a Backward Recognition Task",2012,"Music Perception","Schulze, Katrin","France","France","France",NA,"20","19.63","1.74",NA,NA,"non-musicians",NA,"university students","4.32","artificial","Western","experimenter-created","Article states material (tone sequences of midi instruments) was made in a Western tonal and atonal system by experimenters","CK","working memory for auditory material; musical structure; expertise; nonmusicians; musicians"
"161","Working Memory for Tonal and Atonal Sequences during a Forward and a Backward Recognition Task",2012,"Music Perception","Schulze, Katrin","France","France","France",NA,"20","25.35","6.32",NA,NA,"musicians",NA,NA,"17.65","artificial","Western","experimenter-created","Article states material (tone sequences of midi instruments) was made in a Western tonal and atonal system by experimenters","CK","working memory for auditory material; musical structure; expertise; nonmusicians; musicians"
"162","The Role of Formal Structure in Liking for Popular Music",2012,"Music Perception","Rolison, Jonathan","UK","UK","UK",NA,"16",NA,NA,NA,NA,NA,"course credit","undergraduate students",NA,"pop; rock","Western","precomposed","","CK","concatenism; restructured songs; repeated exposure; liking; predictability"
"163","The Role of Formal Structure in Liking for Popular Music",2012,"Music Perception","Rolison, Jonathan","UK","UK","UK",NA,"57",NA,NA,NA,NA,NA,"course credit","undergraduate students",NA,"pop; rock","Western","precomposed","","CK","concatenism; restructured songs; repeated exposure; liking; predictability"
"164","Intersecting Facotrs Lead to Absolute Pitch Acquisition That is Maintained in a ""Fixed do"" Environment",2012,"Music Perception","Wilson, Sarah","Australia","Australia","Australia","Asian","43; 49; 68","23.9; 26.7; 26.3",NA,"96","64","musicians","volunteer",NA,"15.9; 15.8; 16.3","artificial","Western","experimenter-created","Article data was divided into three participant groups, so I reflected that here. Asian was the only ethnicity listed.","CK","pitch Perception; absolute pitch; phenotype; environmental factors; auditory plasticity"
"165","Effect of Enculturation on the Semantic and Acoustic Correlates of Polyphonic Timbre",2012,"Music Perception","Alluri, Vinoo","Finland","Finland; India","Finland; India","white; Asian","74; 76","24.1; 24.5","3.65; 5.35",NA,"25; 42","non-musicians",NA,"university+",NA,"film music; pop; rock; disco; electronic","India; Western","precomposed","Article data was divided into four groups","CK","polyphonic timbre; cross-cultural; perceptual dimensions; differentiation of dimensions; acoustic feature analysis"
"166","Who Enjoys Listening to Sad Music and Why?",2012,"Music Perception","Vuoskoski, Jonna","Finland","Finland","Finland",NA,"148","23.5","4.84","113","35",NA,"volunteer","university students",NA,"film music","Western","precomposed","","CK","sadness; music-induced emotions; openness to experience; empathy; preference"
"167","Analyzing Expressive Qualities in Movement and Stillness: Effort-Shape Analyses of Solo Marimbists' Bodily Expression",2012,"Music Perception","Broughton, Mary C.","Australia","Australia","Australia",NA,"4",NA,NA,"2","2","musicians",NA,NA,NA,"classical","Western","precomposed","","CK","musician bodily expression; simulation theory; embodied cognition; Laban Movement Analysis; interjudge reliability"
"168","Comparative Time Series Analysis of Perceptual Responses to Electroacoustic Music",2012,"Music Perception","Bailes, Freya","Australia","Australia","Australia",NA,"32",NA,NA,"16","16","musicians; non-musicians","volunteer; other","university+",NA,"classical; electroacoustic","Western","precomposed","","CK","electroacoustic music; perceptions of change; affect; sound intensity; time series analysis"
"169","Musical Repetition Detection Across Multiple Exposures",2012,"Music Perception","Hellmuth Margulis, Elizabeth","US","US","US",NA,"29","21","4","16","13","non-musicians","volunteer","university students","4.1","classical","Western","precomposed","","CK","repetition; repeated exposures; attention; hierarchy; form"
"170","A Parametric, Temporal Model of Musical Tension",2012,"Music Perception","Farbood, Morwaread M.","US","online","US",NA,"2661","38","14.7",NA,NA,"musicians; non-musicians","volunteer",NA,NA,"artificial; classical","Western","experimenter-created; semi-precomposed; precomposed","","CK","musical tension; temporal dynamics; change perception; trend salience; web study"
"171","A Parametric, Temporal Model of Musical Tension",2012,"Music Perception","Farbood, Morwaread M.","US","US","US",NA,"35","30",NA,NA,NA,"musicians; non-musicians","volunteer","university+",NA,"artificial; classical","Western","experimenter-created; semi-precomposed; precomposed","","CK","musical tension; temporal dynamics; change perception; trend salience; web study"
"172","The Music USE (MUSE) Questionnaire: An Instrument to Measure Engagement in Music",2012,"Music Perception","Chin, Tan-Chyuan","Australia","Australia","Australia",NA,"210","37.55","11.31","152","58","non-musicians","volunteer","university students",NA,NA,NA,NA,"Questionnaire Development","CK","engagement; music training; function; production; reception; cognitive; affective; social; physical; listening; psychometrics; questionnaire"
"173","The Music USE (MUSE) Questionnaire: An Instrument to Measure Engagement in Music",2012,"Music Perception","Chin, Tan-Chyuan","Australia","Australia","Australia",NA,"154","22.78","6.17","108","46","non-musicians","volunteer","university students",NA,NA,NA,NA,"Questionnaire Development","CK","engagement; music training; function; production; reception; cognitive; affective; social; physical; listening; psychometrics; questionnaire"
"174","Semantic Memory for Music in Dementia",2012,"Music Perception","Omar, Rohani","UK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Review","CK","music; semantic memory; dementia; Alzhimer's; frontotemporal"
"175","Memory for Melodies and Lyrics in Alzheimer's Disease",2012,"Music Perception","Cuddy, Lola","Canada","Canada","Canada",NA,"50; 100","20; 72",NA,"87","63",NA,"paid","university+","14; 14","artificial","Western","semi-precomposed","Article used 6 listening tests including lyric recognition and spoken proverbs. Was unsure of the classification for both the Origin & source.","CK","music; melody; lyrics; memory; Alzheimer's disease"
"176","Memory for Melodies and Lyrics in Alzheimer's Disease",2012,"Music Perception","Cuddy, Lola","Canada","Canada","Canada",NA,"21; 17; 12","82; 81; 82.5",NA,"27","23",NA,"paid","patients","12; 12; 16","artificial","Western","semi-precomposed","Article used 6 listening tests including lyric recognition and spoken proverbs. Was unsure of the classification for both the Origin & source.","CK","music; melody; lyrics; memory; Alzheimer's disease"
"177","Does Pathological Aging Affect Musical Learning and Memory",2012,"Music Perception","Samson, Severine","France","France","France",NA,"17; 17","78.59; 81.41","5.65; 5.03","26","8",NA,NA,"patients","8.65; 8.41","artificial; classical","Western","precomposed; semi-precomposed","","CK","music; Alzheimer's disease; memory; learning; aging"
"178","Episodic and Semantic Memory for Melodies in Alzheimer's Disease",2012,"Music Perception","Vanstone, Ashley","Canada","Canada","Canada",NA,"35; 40; 10","19.7; 74.8; 70.7",NA,"58","27",NA,NA,"patients; undergraduate students","13.7; 14.3; 14.1","artificial","Western","semi-precomposed","","CK","Alzheimer's disease; episodic memory; implicit memory; sematic memory; melodies"
"179","Perception and Emotional Judgements of Music in Dementia of the Alzheimer Type: A Short Case Study",2012,"Music Perception","Gagnon, Lise","Canada","Canada","Canada",NA,"1; 4","77; 77.5",NA,NA,NA,"non-musicians",NA,"patients","8.7","classical","Western","precomposed","Gender was not explicitly expressed nor was case study subject's edu. ","CK","dementia; emotion; perception; mode; tempo"
"180","Perception and Emotional Judgements of Music in Dementia of the Alzheimer Type: A Short Case Study",2012,"Music Perception","Gagnon, Lise","Canada","Canada","Canada",NA,"1; 4","77; 74",NA,NA,NA,"non-musicians",NA,"patients","8.5","film music","Western","precomposed","Gender was not explicitly expressed nor was case study subject's edu. ","CK","dementia; emotion; perception; mode; tempo"
"181","Short and Longer Term Effects of Musical Intervention in Severe Alzheimer's Disease",2012,"Music Perception","Clement, Sylvain","France","France","France",NA,"5; 6","84.4; 82.7",NA,"6","5","non-musicians",NA,"patients","7; 7","classical; traditional; commercial music","Western","precomposed","First group was allowed to listen to music. Additionally, participants were given perc. Instruments while listening","CK","music; Alzheimer's disease; non-pharmacological treatment; emotion; mood"
"182","The Experience of Music in Congenital Amusia",2012,"Music Perception","Omigie, Diana","UK","UK","UK",NA,"17; 17","45.65; 45.06","12.08; 12.24","24","10","non-musicians","volunteer","amusics",NA,"pop; folk; oldies; rock; jazz; classical","Western","precomposed","ESM study didn’t provide explicit recognition that all music was primarily western but examples were western.","CK","congenital amusia; music engagement and appreciation; music perception; experience sampling methodology; cluster analysis"
"183","On Musical Dissonance",2012,"Music Perception","Johnson-Laird, Phil","US","US","US",NA,"27","23",NA,NA,NA,"musicians; non-musicians","paid","university+",NA,"artificial","Western","experimenter-created","Test of all 55 possible three note chords","CK","consonance; dissonance; harmony; sensory roughness; tonality"
"184","On Musical Dissonance",2012,"Music Perception","Johnson-Laird, Phil","US","US","US",NA,"39","23.1",NA,"23","13","musicians; non-musicians","paid","university+",NA,"artificial","Western","experimenter-created","","CK","consonance; dissonance; harmony; sensory roughness; tonality"
"185","On Musical Dissonance",2012,"Music Perception","Johnson-Laird, Phil","US","US","US",NA,"37","23",NA,"25","12","musicians; non-musicians","paid","university+",NA,"artificial","Western","experimenter-created","","CK","consonance; dissonance; harmony; sensory roughness; tonality"
"186","Keeping an Eye on Guitar Skill: Visual Representations of Guitar Chords",2012,"Music Perception","Crump, Matthew","US","US","US",NA,"30",NA,NA,NA,NA,"musicians","paid",NA,NA,NA,NA,NA,"Participants were asked to identify chords from visuals. ","CK","guitar; Stroop; orientation; vision; association"
"187","Keeping an Eye on Guitar Skill: Visual Representations of Guitar Chords",2012,"Music Perception","Crump, Matthew","US","US","US",NA,"60",NA,NA,NA,NA,"musicians","paid",NA,NA,NA,NA,NA,"Identification task of chords, unsure if to discribe as Western","CK","guitar; Stroop; orientation; vision; association"
"188","Timbre and Affect Dimensions: Evidence from Affect and Similarity Ratings and Acoustic Correlates of Isolated Instrument Sounds",2012,"Music Perception","Eerola, Tuomas","Finland","Finland","Finland",NA,"30","25.37","4.05","17","13",NA,NA,NA,NA,"artificial","Western","experimenter-created","","CK","timbre; affect; emotion; instrument; monophonic"
"189","Timbre and Affect Dimensions: Evidence from Affect and Similarity Ratings and Acoustic Correlates of Isolated Instrument Sounds",2012,"Music Perception","Eerola, Tuomas","Finland","Finland","Finland",NA,"13","26.21","3.16","4","9","musicians",NA,"university students",NA,"artificial","Western","experimenter-created","","CK","timbre; affect; emotion; instrument; monophonic"
"190","Timbre and Affect Dimensions: Evidence from Affect and Similarity Ratings and Acoustic Correlates of Isolated Instrument Sounds",2012,"Music Perception","Eerola, Tuomas","Finland","Finland","Finland",NA,"30","26.35","6.04","14","17","musicians; non-musicians",NA,NA,NA,"classical","Western","precomposed; semi-precomposed","","CK","timbre; affect; emotion; instrument; monophonic"
"191","When the Eye Listens: A Meta-Analysis of How Audio-Visual Presentation Enhances the Appreciation of Music Performance",2012,"Music Perception","Platz, Friedrich","Germany",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Meta-Analysis of research pertaining to visual perception effects towards music. No participant data","CK","audio-visual perception; performance evaluation; intermodal perception; music performance evaluation; meta-analysis"
"192","Musicians Do Better than Nonmusicians in Both Auditory and Visual Timing Tasks",2012,"Music Perception","Rammsayer, Thomas","Switzerland","Germany","Germany",NA,"40; 40","22.7; 22.8","2.6; 2.6","40","40","musicians; non-musicians",NA,"university students",NA,"artificial",NA,"experimenter-created","","CK","interval timing; rhythm perception; auditory; visual; sensory modality"
"193","Development and Validation of the Brief Music in Mood Regulation Scale (B-MMR)",2012,"Music Perception","Saarikallio, Suvi H.","Finland","Finland","Finland",NA,"1515","15.01",NA,"820","652",NA,NA,"children",NA,NA,NA,NA,"43 subjects did not mark gender; scale development did not include listening to music","CK","music; emotion; mood regulation; emotion regulation; questionnaire"
"194","Development and Validation of the Brief Music in Mood Regulation Scale (B-MMR)",2012,"Music Perception","Saarikallio, Suvi H.","Finland","Finland","Finland",NA,"526","23.97",NA,"357","169",NA,NA,NA,NA,NA,NA,NA,"subjects did not listen to music; validation of 21-item scale","CK","music; emotion; mood regulation; emotion regulation; questionnaire"
"195","Perception of Dyads of Impulsive and Sustained Instrument Sounds",2012,"Music Perception","Tardieu, Damien","France","Canada","Canada",NA,"20","21",NA,"10","10","musicians","paid","university students","12","artificial","Western","experimenter-created","","CK","orchestration; timbre space; sound descriptors; blend; instrument dyads"
"196","Perception of Dyads of Impulsive and Sustained Instrument Sounds",2012,"Music Perception","Tardieu, Damien","France","Canada","Canada",NA,"25","21.5",NA,"15","10","musicians","paid","university students","14","artificial","Western","experimenter-created","","CK","orchestration; timbre space; sound descriptors; blend; instrument dyads"
"197","The Science of Singing Along: A Quantitative Field Study on Sing-along Behavior in the North of England",2012,"Music Perception","Pawley, Alisun","UK","UK","UK",NA,NA,NA,NA,NA,NA,NA,"other","audience",NA,"pop; rock","Western","precomposed","Observational design did not gather subject demographic info nor classified the music selection in enough detail past ""UK popular hits""","CK","informal singing; popular music; music in everyday life; neo-tribes; random forest statistical model"
"198","The Vocal Generosity Effect: How Bad Can Your Singing Be?",2012,"Music Perception","Hutchins, Sean","Canada","Canada","Canada",NA,"22; 22","22.73; 22",NA,"24","20","musicians; non-musicians","volunteer","university students",NA,"artificial; classical","Western","experimenter-created","","CK","tuning; pitch; voice; violin; perception"
"199","The Song Remains the Same: A Replication and Extension of the MUSIC Model",2012,"Music Perception","Rentfrow, Peter","UK","online",NA,NA,"1057","26.41","9.23","585","382",NA,"volunteer",NA,NA,"pop; jazz; blues; rap; rock; classical; country; electronica; RnB; soul","Western","precomposed","","CK","music; preferences; individual differences; factor analysis; genres"
"200","The Song Remains the Same: A Replication and Extension of the MUSIC Model",2012,"Music Perception","Rentfrow, Peter","UK","online; US",NA,NA,"913; 408","23.87; NA","9.11; NA","511; 251","345; 142",NA,"volunteer","university+",NA,"jazz","Western","precomposed","","CK","music; preferences; individual differences; factor analysis; genres"
"201","The Song Remains the Same: A Replication and Extension of the MUSIC Model",2012,"Music Perception","Rentfrow, Peter","UK","online; US",NA,NA,"1786; 374","24.07; NA","6.86; NA","1030; 215","642; 140",NA,"volunteer","university+",NA,"rock","Western","precomposed","","CK","music; preferences; individual differences; factor analysis; genres"
"202","The Role of Visual Feedback and Creative Exploration for the Improvement of Timing Accuracy in Performing Musical Ornaments",2012,"Music Perception","Timmers, Renee","UK","Netherlands","Netherlands",NA,"24","24.25","4",NA,NA,"musicians",NA,NA,"17.58","classical","Western","precomposed","","CK","performance; visual feedback; training; ornamentation; creativity"
"203","Distortions in Reproduction of Two-Interval Rhythms: When the ""Attractor Ratio"" is Not Exactly 1:2",2012,"Music Perception","Repp, Bruno","US","US","US",NA,"9",NA,NA,"6","3","musicians","volunteer","university students",NA,"artificial","Western","experimenter-created","","CK","rhythm production; synchronization; interval ratio; tapping; attractor"
"204","Distortions in Reproduction of Two-Interval Rhythms: When the ""Attractor Ratio"" is Not Exactly 1:2",2012,"Music Perception","Repp, Bruno","US","US; Germany","US; Germany",NA,"21; 12",NA,NA,NA,NA,"musicians; non-musicians","volunteer","university+",NA,"artificial","Western","experimenter-created","","CK","rhythm production; synchronization; interval ratio; tapping; attractor"
"205","Distortions in Reproduction of Two-Interval Rhythms: When the ""Attractor Ratio"" is Not Exactly 1:2",2012,"Music Perception","Repp, Bruno","US","US","US",NA,"9",NA,NA,NA,NA,"musicians","volunteer","university students",NA,"artificial","Western","experimenter-created","","CK","rhythm production; synchronization; interval ratio; tapping; attractor"
"206","Emotion and music: The Ethiopian lyre bagana",2012,"Musicae Scientiae","Weisser, Stephanie","Belgium","Ethiopia","Ethiopia","black","32",NA,NA,"10","22","musicians","volunteer",NA,NA,"spiritual","Ethiopia","precomposed","Not certain if the performances were precomposed as the article did not specify musical choice. Only that statements were taken after spiritual performances","CK","emotion; ethnomusicology; music; SEM descriptive system"
"207","Exploring relationships between pianists' body movements, their expressive intentions, and structural elements of the music",2012,"Musicae Scientiae","Thompson, Marc","Finland","Finland","Finland",NA,"8","24.6",NA,"5","3","musicians","volunteer; paid","university students",NA,"classical","Western","precomposed","","CK","gestures; expressive body movement; motion cpature; performance conditions"
"208","Musical and non-musical involvement in daily life: The case of absorption",2012,"Musicae Scientiae","Herbert, Ruth","UK","UK","UK",NA,"20",NA,NA,"12","8","non-musicians","volunteer",NA,NA,NA,NA,NA,"Music type/choice was not specified from participants ESM submissions","CK","absorption; everyday listening; phenomenology; trance"
"209","Musically puzzling II: Sensitivity to overall structure in a Haydn E-minor sonata",2012,"Musicae Scientiae","Granot, Roni","Israel","Israel","Israel",NA,"84",NA,NA,"48","34",NA,"course credit; paid",NA,NA,"classical","Western","precomposed","","CK","concatenationism, global structure, local processing, musical puzzle, order effects, onata form, structural coherence"
"210","Typikalität, Musiker-Image und die Musikbewertung durch Jugendliche",2012,"Musicae Scientiae","Cohrdes, Caroline","Germany","Germany","Germany",NA,"243","15.14","0.79","119","124",NA,NA,"children",NA,"pop",NA,"experimenter-created","music stimulus was composed to be 'unconventional pop' (i.e., unconventional mix of instruments, invented language etc.)","CK","typicality, image, music evaluation, adolescence, social identity theory (SIT), self-categorization theory (SCT), social cognition"
"211","Music and affordances",2012,"Musicae Scientiae","Windsor, W. Luke","UK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Review","CK","action, affordances, ecological, Gibson, music, perception"
"212","Re-defining 'Me': Exploring career transition and the experience of loss in the context of redundancy for professional opera choristers",2012,"Musicae Scientiae","Oakland, Jane","UK","UK","UK",NA,"7","48.28","3.54",NA,NA,"musicians",NA,NA,NA,NA,NA,NA,"I calculated sampleMean and SD because the ages of each participant were given. Did not want to imply gender. Qual study did not include music played.","CK","interpretative phenomenological analysis; loss; opera singers; redundancy"
"213","Rehearsal talk: Familiarity and expertise in singer-pianist duos",2012,"Musicae Scientiae","Ginsborg, Jane","UK","UK","UK",NA,"8","43","21.97","4","4","musicians",NA,NA,NA,"classical","Western","precomposed","I calculated sampleMean and SD because values were given but not calculated.","CK","cognitive; collaborative; ensemble; social"
"214","Musikalische und soziale Bedingungen des Singens: Eine Studie unter deutschsprachigen Chorsängern",2012,"Musicae Scientiae","Kreutz, Gunter ","Germany","online","Germany",NA,"3145","43","14.7","2150","993","musicians",NA,NA,NA,NA,NA,NA,"no musical stimuli used","CK","age; amateur; choir; singing; choral societies; gender; musical education; musical socialization; reading music; singing; voice part"
"215","Cognitive function, origin, and evolution of musical emotions",2012,"Musicae Scientiae","Perlovsky, Leonid","US",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"review","CK","cognition; cognitive dissonances; culture; emotions; evolution; language prosody; music; knowledge instinct"
"216","The roots of music: Emotional expression, dialogue and affect attunement in the psychogensis of music",2012,"Musicae Scientiae","Volgsten, Ulrik","Sweden",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"review","CK","affect attunement; communicative musicality; developmental psychology of music; dialogism; making special; self development; non-verbal communication; sound categorization"
"217","Inducing involuntary musical imagery: An experimental study",2012,"Musicae Scientiae","Liikkanen, Lassi A.","Finland","online","Finland",NA,"991","23.7",NA,"768","223","musicians; non-musicians","volunteer",NA,NA,"rock; pop; tango","Western","precomposed","","CK","cued recall; earworms; implicit memory; induction; involuntary memory; musical imagery"
"218","Inducing involuntary musical imagery: An experimental study",2012,"Musicae Scientiae","Liikkanen, Lassi A.","Finland","online","Finland",NA,"6542","28.2",NA,"4612","1930","musicians; non-musicians","volunteer",NA,NA,"classical; rock; tango; pop","Western","precomposed","","CK","cued recall; earworms; implicit memory; induction; involuntary memory; musical imagery"
"219","Inducing involuntary musical imagery: An experimental study",2012,"Musicae Scientiae","Liikkanen, Lassi A.","Finland","online","Finland",NA,"34",NA,NA,NA,NA,NA,"volunteer","undergraduate students",NA,"classical; rock; pop; tango","Western","precomposed","","CK","cued recall; earworms; implicit memory; induction; involuntary memory; musical imagery"
"220","Characterising musical gestures",2012,"Musicae Scientiae","Ben-Tal, Oded","UK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"classical","Western",NA,"review","CK","music analysis; musical gestures; sonic gestures"
"221","Tracking the composer's cognition in the course of a creative process: Stefano Gervasoni and the beginning of Gramigna",2012,"Musicae Scientiae","Donin, Nicolas","France","France","Italy",NA,"1",NA,NA,NA,"1","musicians","volunteer",NA,NA,"classical","Western","other","case study of a composer creating a piece","CK","cognition; creativity; music analysis; method of composition; sketch studies; genetic criticism; situation simulation interview based on documentation; composition simulation; Stefano Gervasoni"
"222","Blast from the past: Conservatoire students' experiences and perceptions of public master classes",2012,"Musicae Scientiae","Long, Marion","UK","UK","UK",NA,"351","21.28","2.76","172","179","musicians","volunteer","university students",NA,"classical","Western",NA,"study was based on conservatoire master class perception but music source was not specified","CK","community of practice; gender; institution; master class"
"223","Recognition and description of singing voices: The impact of verbal overshadowing",2012,"Musicae Scientiae","Mitchell, Helen","Australia","Australia; UK",NA,NA,"50","33",NA,"32","18","musicians","volunteer","university+",NA,"classical","Western","precomposed","","CK","auditory recognition; music performance; singing voice; verbalization; verbal overshadowing"
"224","Melodic similarity among folk songs: An annotation study on similarity-based categorization in music",2012,"Musicae Scientiae","Volk, Anja","Netherlands","Netherlands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"folk","Western","precomposed","corpus study of dutch folk songs","CK","melodic similarity; categorization; musical features; tune families"
"225","Music-enhanced recall: An effect of mood congruence, emotion arousal or emotion function?",2012,"Musicae Scientiae","Tesoriero, Michael","Australia","online","Australia",NA,"95","26.56","9.63","68","27","non-musicians","volunteer","university+",NA,"classical","Western","precomposed","","CK","arousal; congruence; emotion; encoding; function; mood regulation; music; short-term recall"
"226","Restraint of body movement potentially reduces peak SPL in western contemporary popular singing",2012,"Musicae Scientiae","Turner, Gemma","Australia","Australia","Australia",NA,"6",NA,NA,"5","1","musicians",NA,NA,NA,"RnB","Western","precomposed","","CK","body movement restraint; peak sound pressure level; sensorimotor feedback; subglottal pressure; western contemporary popular singing"
"227","The development of the aesthetic experience of music: Preference, emotions, and beauty",2012,"Musicae Scientiae","Nieminen, Sirke","Finland","Finland","Finland",NA,"78","7.47","0.83","40","38","musicians; non-musicians",NA,"children",NA,"childrens","Western","experimenter-created","","CK","aesthetic experience; beauty; development; emotions; music; preference; tonality"
"228","Effects of music therapy on facial expression of individuals with Parkinson's disease: A pilot study",2012,"Musicae Scientiae","Elefant, Cochavit","Norway","Norway","Norway",NA,"10","66.4","8.95","3","7",NA,"volunteer","patients",NA,NA,NA,NA,"I calculated the sampleMean and SD from the data points provided. Participants sang songs which they perferred and had chosen. However, no mention of actual music is given nor genre.","CK","communication; facial expression; FACS; music therapy; Parkinson's disease; social interaction"
"229","Music as an Aid to Learn New Verbal Information in Alzheimer's Disease",2012,"Music Perception","Moussard, Aline","France","Canada","Canada",NA,"1","68","0","1","0",NA,NA,NA,"7","folk; classical","Western","experimenter-created; precomposed","","CK","Alzheimer's disease; singing; verbal recall; delayed recall; music"
"230","Preferences for piano versus harpsichord performances in Renaissance and Baroque keyboard music",2012,"Psychology of Music","Wapnick, Joel","Canada","North America",NA,NA,"280",NA,NA,NA,NA,"musicians; non-musicians","volunteer","undergraduate students",NA,"classical","Western","semi-precomposed","","CS",NA
"231","String quartets as self-managed teams: An interdisciplinary perspective",2012,"Psychology of Music","Gilboa, Avi","Israel","Israel","Israel",NA,"72","38.32","13.68","45","27","musicians","volunteer",NA,"16.86",NA,NA,NA,"musical experience (M = 18.5, SD = 12.22)","CS","group characteristics; interdisciplinary studies; leadership; self-managed-team; string quartet; teamwork"
"232","String quartets as self-managed teams: An interdisciplinary perspective",2012,"Psychology of Music","Gilboa, Avi","Israel","Israel","North America",NA,"26","27.8","10.5","24","12","musicians","volunteer",NA,"17.77",NA,NA,NA,"musical experience (M=10.08, SD = 9.83)","CS","group characteristics; interdisciplinary studies; leadership; self-managed-team; string quartet; teamwork"
"233","Musical “learning styles” and “learning strategies” in the instrumental lesson: Some emergent findings from a pilot study",2012,"Psychology of Music","Green, Lucy","UK","UK","UK","white","15",NA,NA,"9","6","non-musicians","volunteer","children",NA,"classical; pop; funk","Western","precomposed; semi-precomposed","","CS","aural learning; instrumental learning; learning strategy; learning style; music"
"234","A multi-institution exploration of secondary socialization and occupational identity among undergraduate music majors",2012,"Psychology of Music","Austin, James R.","US","US","US",NA,"454",NA,NA,"245","209","musicians","volunteer","undergraduate students",NA,NA,NA,NA,"","CS","commitment; identity; multivariate; music school; socialization"
"235","The influence of distracting familiar vocal music on cognitive performance of introverts and extraverts",2012,"Psychology of Music","Avila, Christina","UK","UK","UK",NA,"58","16.78",NA,"36","22","musicians","volunteer","undergraduate students",NA,"pop","Western","precomposed","","CS","distraction; music; performance; personality; thinking"
"236","Possible selves as a source of motivation for musicians",2012,"Psychology of Music","Schnare, Ben","Canada","online","North America; Europe",NA,"204",NA,NA,"90","97","musicians","volunteer",NA,NA,NA,NA,NA,"17 didn't identify their sex","CS","expectancies; motivation; musical self; possible selves; qualitative methods"
"237","Genre identification of very brief musical excerpts",2012,"Psychology of Music","Mace, Sandra T.","US","US","US",NA,"347",NA,NA,"218","129","musicians","volunteer","undergraduate students",NA,"classical; jazz; country; metal; rap; hip-hop","Western","precomposed","","CS","brief excerpt; excerpt length; gender; genre; musical training; preference"
"238","Musical taste and the representativeness heuristic",2012,"Psychology of Music","Londsdale, Adam J.","UK","UK",NA,NA,"150","19.22","1.37","123","27","non-musicians","course credit","undergraduate students",NA,"heavy metal; RnB; jazz; hip-hop; rap; classical; pop; dance; indie rock; country",NA,NA,"","CS","musical taste; representativeness heuristic; stereotypes"
"239","Musical taste and the representativeness heuristic",2012,"Psychology of Music","Londsdale, Adam J.","UK","UK",NA,NA,"125","19.84","3.29","98","27","non-musicians","volunteer","undergraduate students",NA,NA,NA,NA,"","CS","musical taste; representativeness heuristic; stereotypes"
"240","‘Rock music for myself and justice to the world!’: Musical identity, values, and music preferences",2012,"Psychology of Music","Gardikiotis, Antonis","Greece","Greece","Greece",NA,"606","20.91","2.53","303","293","non-musicians","volunteer",NA,NA,NA,"Western",NA,"","CS","music genres; music preferences; musical identity; personal values; self-identity"
"241","The relationship between affect, uses of music, and music preferences in a sample of South African adolescents",2012,"Psychology of Music","Getz, Laura M.","US","South Africa","South Africa","black","193","13.77","0.85","107","81","non-musicians","volunteer","children",NA,NA,NA,NA,"5 didn't identify their sex; please check - ethnicity defined as Traditional African","CS","adolescents; music preferences; PANAS; South Africa; uses of music"
"242","Towards a holistic model of functions of music listening across cultures: A culturally decentred qualitative approach",2012,"Psychology of Music","Boer, Diana","New Zealand","online","Germany",NA,"222","23","9.05","129","93","non-musicians","volunteer",NA,NA,NA,NA,NA,"please check - ethnicity is not defined as white, asian etc but in a broader cultural category: Regarding their cultural backgrounds, the participants can be categorized into four broad cultural clusters, based upon their stated home country (that is, the country in which they grew up) and ethnicity, namely Anglophone Western, non-Anglophone Western, Asian, and South-American (Table 1).","CS","cross-cultural comparison; cultural functions; functions of music; individual functions; music listening; qualitative method; social functions"
"243","Towards a holistic model of functions of music listening across cultures: A culturally decentred qualitative approach",2012,"Psychology of Music","Boer, Diana","New Zealand","New Zealand","New Zealand",NA,"74","31","12.08","36","38","non-musicians","volunteer",NA,NA,NA,NA,NA,"","CS","cross-cultural comparison; cultural functions; functions of music; individual functions; music listening; qualitative method; social functions"
