PaperTitle,Year,Journal,FirstAuthorName,FirstAuthorCountry,CountryDataCollected,SamplePrimaryCountryofOrigin,Ethnicity,SampleSize,SampleAgeMean,SampleAgeSD,FemaleParticipantsNumber,MaleParticipantsNumber,,SampleOtherDescription,SampleMusicianshipDescription,SamplingMethodDescription,MeanYearsEducation,MusicPrimaryGenre,MusicOriginCountry,MusicSource,Comments,CoderName,Keywords
The Vocal Generosity Effect: How Bad Can Your Singing Be?,2012,Music Perception,"Hutchins, Sean",Canada,Canada,Canada,NA,22; 22,22.73; 22,NA,9; 15,13; 7,,university students,non-musicians; musicians,volunteer,NA,artifical: classical,Western,experimenter-created,,Connor Kirts,tuning; pitch; voice; violin; perception
The Song Remains the Same: A Replication and Extension of the MUSIC Model,2012,Music Perception,"Rentfrow, Peter",UK,NA,Online,NA,1057,26.41,9.23,585,382,,NA,NA,volunteer,NA,pop; jazz; blues; rap; rock; classical; country; electronica; R&B; soul,Western,precomposed,,Connor Kirts,music; preferences; individual differences; factor analysis; genres
The Song Remains the Same: A Replication and Extension of the MUSIC Model,2012,Music Perception,"Rentfrow, Peter",UK,UK; USA,Online; USA,NA,913; 408,23.87; NA,9.11; NA,511; 251,345; 142,,internet participants; undergraduate students,NA,volunteer,NA,jazz,Western,precomposed,,Connor Kirts,music; preferences; individual differences; factor analysis; genres
The Song Remains the Same: A Replication and Extension of the MUSIC Model,2012,Music Perception,"Rentfrow, Peter",UK,UK; USA,Online; USA,NA,1786; 374,24.07; NA,6.86; NA,1030; 215,642; 140,,internet participants; undergraduate students,NA,volunteer,NA,rock,Western,precomposed,,Connor Kirts,music; preferences; individual differences; factor analysis; genres
The Role of Visual Feedback and Creative Exploration for the Improvement of Timing Accuracy in Performing Musical Ornaments,2012,Music Perception,"Timmers, Renee",UK,Netherlands,Netherlands,NA,24,24.25,4,NA,NA,,piano students,musicians,NA,17.58,classical,Western,precomposed,,Connor Kirts,performance; visual feedback; training; ornamentation; creativity
"Distortions in Reproduction of Two-Interval Rhythms: When the ""Attractor Ratio"" is Not Exactly 1:2",2012,Music Perception,"Repp, Bruno",USA,USA,USA,NA,9,NA,NA,6,3,,graduate students,musicians,volunteer,NA,artifical,Western,experimenter-created,,Connor Kirts,rhythm production; synchronization; interval ratio; tapping; attractor
"Distortions in Reproduction of Two-Interval Rhythms: When the ""Attractor Ratio"" is Not Exactly 1:2",2012,Music Perception,"Repp, Bruno",USA,USA; Germany;,USA; Germany,NA,21; 12,NA,NA,NA,NA,,graduate students; university students; community,non-musicians; musicians,volunteer,NA,artifical,Western,experimenter-created,,Connor Kirts,rhythm production; synchronization; interval ratio; tapping; attractor
"Distortions in Reproduction of Two-Interval Rhythms: When the ""Attractor Ratio"" is Not Exactly 1:2",2012,Music Perception,"Repp, Bruno",USA,USA,USA,NA,9,NA,NA,NA,NA,,graduate students,musicians,volunteer,NA,artifical,Western,experimenter-created,,Connor Kirts,rhythm production; synchronization; interval ratio; tapping; attractor
Emotion and music: The Ethiopian lyre bagana,2012,Musicae Scientiae,"Weisser, Stephanie",Belgium,Ethiopia; USA,Ethiopia,ethiopian,32,NA,NA,10,22,,professional musicians,musicians,volunteer,NA,spiritual,Ethiopian,precomposed,Not certain if the performances were precomposed as the article did not specify musical choice. Only that statements were taken after spiritual performances,Connor Kirts,emotion; ethnomusicology; music; SEM descriptive system
"Exploring relationships between pianists' body movements, their expressive intentions, and structural elements of the music",2012,Musicae Scientiae,"Thompson, Marc",Finland,Finland,Finland,Finnish; Vietnamese; Taiwanese; Hungarian; German,8,24.6,NA,5,3,,university students,musicians,volunteer; paid,NA,classical,Western,precomposed,,Connor Kirts,gestures; expressive body movement; motion cpature; performance conditions
Musical and non-musical involvement in daily life: The case of absorption,2012,Musicae Scientiae,"Herbert, Ruth",UK,UK,UK,NA,20,NA,NA,12,8,,NA,non-musicians,volunteer,NA,NA,NA,NA,Music type/choice was not specified from participants ESM submissions,Connor Kirts,absorption; everyday listening; phenomenology; trance
Musically puzzling II: Sensitivity to overall structure in a Haydn E-minor sonata,2012,Musicae Scientiae,"Granot, Roni",Israel,Israel,Israel,NA,84,NA,NA,48,34,,NA,NA,course credit; paid,NA,classical,Western,precomposed ,,Connor Kirts,"concatenationism, global structure, local processing, musical puzzle, order effects, onata form, structural coherence"
"Typikalität, Musiker-Image und die Musikbewertung durch Jugendliche",2012,Musicae Scientiae,"Cohrdes, Caroline",Germany,Germany,Germany,NA,243,15.14,0.79,119,124,,highschool students,NA,NA,NA,pop,NA,experimenter-created,"music stimulus was composed to be 'unconventional pop' (i.e., unconventional mix of instruments, invented language etc.)",Connor Kirts,"typicality, image, music evaluation, adolescence, social identity theory (SIT), self-categorization theory (SCT), social cognition"
Music and affordances,2012,Musicae Scientiae,"Windsor, W. Luke",UK,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,Review,Connor Kirts,"action, affordances, ecological, Gibson, music, perception"
Re-defining 'Me': Exploring career transition and the experience of loss in the context of redundancy for professional opera choristers,2012,Musicae Scientiae,"Oakland, Jane",UK,UK,UK,NA,7,48.28,3.54,NA,NA,,opera choristers,musicians,NA,NA,NA,NA,NA,I calculated sampleMean and SD because the ages of each participant were given. Did not want to imply gender. Qual study did not include music played.,Connor Kirts,interpretative phenomenological analysis; loss; opera singers; redundancy
Rehearsal talk: Familiarity and expertise in singer-pianist duos,2012,Musicae Scientiae,"Ginsborg, Jane",UK,UK,UK,NA,8,43,21.97,4,4,,singer-pianist duos; professional musicians; students,musicians,NA,NA,classical,Western,precomposed,I calculated sampleMean and SD because values were given but not calculated.,Connor Kirts,cognitive; collaborative; ensemble; social
Musikalische und soziale Bedingungen des Singens: Eine Studie unter deutschsprachigen Chorsängern,2012,Musicae Scientiae,"Kreutz, Gunter",Germany,Germany,NA; Online,NA,3145,43,14.7,2150,993,,lay choristers,musicians,NA,NA,NA,NA,NA,no musical stimuli used,Connor Kirts,age; amateur; choir; singing; choral societies; gender; musical education; musical socialization; reading music; singing; voice part
"Cognitive function, origin, and evolution of musical emotions",2012,Musicae Scientiae,"Perlovsky, Leonid",USA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,review,Connor Kirts,cognition; cognitive dissonances; culture; emotions; evolution; language prosody; music; knowledge instinct
"The roots of music: Emotional expression, dialogue and affect attunement in the psychogensis of music",2012,Musicae Scientiae,"Volgsten, Ulrik",Sweden,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,review,Connor Kirts,affect attunement; communicative musicality; developmental psychology of music; dialogism; making special; self development; non-verbal communication; sound categorization
Inducing involuntary musical imagery: An experimental study,2012,Musicae Scientiae,"Liikkanen, Lassi",Finland,Finland,Finland; Online,NA,991,23.7,NA,768,223,,internet users,nonmusicians; musicians,volunteer,NA,rock; pop; tango,Western,precomposed,,Connor Kirts,cued recall; earworms; implicit memory; induction; involuntary memory; musical imagery
Inducing involuntary musical imagery: An experimental study,2012,Musicae Scientiae,"Liikkanen, Lassi",Finland,Finland,Finland: Online,NA,6542,28.2,NA,4612,1930,,internet users,nonmusicians; musicians,volunteer,NA,classical; rock; tango; pop,Western,precomposed,,Connor Kirts,cued recall; earworms; implicit memory; induction; involuntary memory; musical imagery
Inducing involuntary musical imagery: An experimental study,2012,Musicae Scientiae,"Liikkanen, Lassi",Finland,Finland,Finland; Online,NA,34,NA,NA,NA,NA,,undergraduate students,NA,volunteer,NA,classical; rock; pop; tango,Western,precomposed,,Connor Kirts,cued recall; earworms; implicit memory; induction; involuntary memory; musical imagery
Characterising musical gestures,2012,Musicae Scientiae,"Ben-Tal, Oded",UK,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,classical,Western,NA,review,Connor Kirts,music analysis; musical gestures; sonic gestures
Tracking the composer's cognition in the course of a creative process: Stefano Gervasoni and the beginning of Gramigna,2012,Musicae Scientiae,"Donin, Nicolas",France,France,Italy,NA,1,NA,NA,NA,1,,composer,musician,volunteer,NA,classical,Western,other,case study of a composer creating a piece,Connor Kirts,cognition; creativity; music analysis; method of composition; sketch studies; genetic criticism; situation simulation interview based on documentation; composition simulation; Stefano Gervasoni
Blast from the past: Conservatoire students' experiences and perceptions of public master classes,2012,Musicae Scientiae,"Long, Marion",UK,UK,UK,NA,351,21.28,2.76,172,179,,postgraduates; undergraduates,musicians,volunteer,NA,classical,Western,NA,study was based on conservatoire master class perception but music source was not specified,Connor Kirts,community of practice; gender; institution; master class
Recognition and description of singing voices: The impact of verbal overshadowing,2012,Musicae Scientiae,"Mitchell, Helen",Australia,Australia; UK,Australia: UK,NA,50,33,NA,32,18,,music students; professional musicians,musicians,volunteer,NA,classical,Western,precomposed,,Connor Kirts,auditory recognition; music performance; singing voice; verbalization; verbal overshadowing
Melodic similarity among folk songs: An annotation study on similarity-based categorization in music,2012,Musicae Scientiae,"Volk, Anja",Netherlands,Netherlands,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,folk,Western,precomposed,corpus study of dutch folk songs,Connor Kirts,melodic similarity; categorization; musical features; tune families
"Music-enhanced recall: An effect of mood congruence, emotion arousal or emotion function?",2012,Musicae Scientiae,"Tesoriero, Michael",Australia,Australia,Australia; Online,NA,95,26.56,9.63,68,27,,university students; local community,nonmusicians,volunteer,NA,classical,Western,precomposed,,Connor Kirts,arousal; congruence; emotion; encoding; function; mood regulation; music; short-term recall
Restraint of body movement potentially reduces peak SPL in western contemporary popular singing,2012,Musicae Scientiae,"Turner, Gemma",Australia,Australia,Australia,NA,6,NA,NA,5,1,,professional singers,musicians,NA,NA,R&B,Western,precomposed,,Connor Kirts,body movement restraint; peak sound pressure level; sensorimotor feedback; subglottal pressure; western contemporary popular singing
"The development of the aesthetic experience of music: Preference, emotions, and beauty",2012,Musicae Scientiae,"Nieminen, Sirke",Finland,Finland,Finland,NA,78,7.47,0.83,40,38,,children,musicians; nonmusicians,NA,NA,children's song,Western,experimenter-created,,Connor Kirts,aesthetic experience; beauty; development; emotions; music; preference; tonality
Effects of music therapy on facial expression of individuals with Parkinson's disease: A pilot study,2012,Musicae Scientiae,"Elefant, Cochavit",Norway; Israel,Norway,Norway,NA,10,66.4,8.95,3,7,,patients with Parkinson's disease,NA,volunteer,NA,NA,NA,NA,"I calculated the sampleMean and SD from the data points provided. Participants sang songs which they perferred and had chosen. However, no mention of actual music is given nor genre.",Connor Kirts,communication; facial expression; FACS; music therapy; Parkinson's disease; social interaction
Music as an Aid to Learn New Verbal Information in Alzheimer's Disease,2012,Music Perception,"Moussard, Aline",France,Canada,Canada,NA,1,68,0,1,0,,Alzheimer's patient,NA,NA,7,folk; classical,Western,precomposed; experimenter-created,,Connor Kirts,Alzheimer's disease; singing; verbal recall; delayed recall; music
Preferences for piano versus harpsichord performances in Renaissance and Baroque keyboard music,2012,Psychology of Music,"Wapnick, Joel",Canada,North America,NA,NA,280,NA,NA,NA,NA,,undergraduate students,musicians; non-musicians,volunteers,NA,Renaissance; Baroque,Western,semi-precomposed,,Chara Steliou,NA
String quartets as self-managed teams: An interdisciplinary perspective,2012,Psychology of Music,"Gilboa, Avi",Israel,Israel,Israel,NA,72,38.32,13.68,45,27,,professional musicians,musicians,volunteers,16.86,NA,NA,NA,"musical experience (M = 18.5, SD = 12.22)",Chara Steliou,group characteristics; interdisciplinary studies; leadership; self-managed-team; string quartet; teamwork
String quartets as self-managed teams: An interdisciplinary perspective,2012,Psychology of Music,"Gilboa, Avi",Israel,Israel,North America,NA,26,27.8,10.5,24,12,,professional musicians,musicians,volunteers,17.77,NA,NA,NA,"musical experience (M=10.08, SD = 9.83)",Chara Steliou,group characteristics; interdisciplinary studies; leadership; self-managed-team; string quartet; teamwork
Musical “learning styles” and “learning strategies” in the instrumental lesson: Some emergent findings from a pilot study,2012,Psychology of Music,"Green, Lucy",UK,UK,UK,White,15,NA,NA,9,6,,students under 18,non-musicians,volunteers,NA,Classical;Pop/Funk,Western,precomposed; semi-precomposed,,Chara Steliou,aural learning; instrumental learning; learning strategy; learning style; music
A multi-institution exploration of secondary socialization and occupational identity among undergraduate music majors,2012,Psychology of Music,"Austin, James R.",USA,USA,USA,NA,454,NA,NA,245,209,,undergraduate students,musicians,volunteers,NA,NA,NA,NA,,Chara Steliou,commitment; identity; multivariate; music school; socialization
The influence of distracting familiar vocal music on cognitive performance of introverts and extraverts,2012,Psychology of Music,"Avila, Christina",UK,UK,UK,NA,58,16.78,NA,36,22,,undergraduate students,musicians,volunteers,NA,Pop,Western,precomposed,,Chara Steliou,distraction; music; performance; personality; thinking
Possible selves as a source of motivation for musicians,2012,Psychology of Music,"Schnare, Ben",Canada,online,North America; Europe,NA,204,NA,NA,90,97,,NA,musicians,volunteers,NA,NA,NA,NA,17 didn't identify their sex,Chara Steliou,expectancies; motivation; musical self; possible selves; qualitative methods
Genre identification of very brief musical excerpts,2012,Psychology of Music,"Mace, Sandra T.",USA,USA,USA,NA,347,NA,NA,218,129,,undergraduate students,musicians,volunteers,NA,Classical; jazz; country; metal; rap/hip hop,Western,precomposed,,Chara Steliou,brief excerpt; excerpt length; gender; genre; musical training; preference
Musical taste and the representativeness heuristic,2012,Psychology of Music,"Lonsdale, Adam J.",UK,UK,NA,NA,150,19.22,1.37,123,27,,undergraduate students,non-musicians,course credit,NA,Heavy metal; r'n'b; jazz; hip-hop/rap; classical; chart pop; dance; opera; indie rock; country,NA,NA,,Chara Steliou,musical taste; representativeness heuristic; stereotypes
Musical taste and the representativeness heuristic,2012,Psychology of Music,"Lonsdale, Adam J.",UK,UK,NA,NA,125,19.84,3.29,98,27,,undergraduate students,non-musicians,volunteers,NA,NA,NA,NA,,Chara Steliou,musical taste; representativeness heuristic; stereotypes
"‘Rock music for myself and justice to the world!’: Musical identity, values, and music preferences",2012,Psychology of Music,"Gardikiotis, Antonis",Greece,Greece,Greece,NA,606,20.91,2.53,303,293,,NA,non-musicians,volunteers,NA,Greek and Non-greek,Western,NA,,Chara Steliou,music genres; music preferences; musical identity; personal values; self-identity
"The relationship between affect, uses of music, and music preferences in a sample of South African adolescents",2012,Psychology of Music,"Getz, Laura M.",USA,South Africa,South Africa,Traditional Africans,193,13.77,0.85,107,81,,secondary school students,non-musicians,volunteers,NA,NA,NA,NA,5 didn't identify their sex; please check - ethnicity defined as Traditional African,Chara Steliou,adolescents; music preferences; PANAS; South Africa; uses of music
Towards a holistic model of functions of music listening across cultures: A culturally decentred qualitative approach,2012,Psychology of Music,"Boer, Diana",New Zealand,online,Germany,NA,222,23,9.05,129,93,,NA,non-musicians,volunteers,NA,NA,NA,NA,"please check - ethnicity is not defined as white, asian etc but in a broader cultural category: Regarding their cultural backgrounds, the participants can be categorized into four broad cultural clusters, based upon their stated home country (that is, the country in which they grew up) and ethnicity, namely Anglophone Western, non-Anglophone Western, Asian, and South-American (Table 1).",Chara Steliou,cross-cultural comparison; cultural functions; functions of music; individual functions; music listening; qualitative method; social functions
Towards a holistic model of functions of music listening across cultures: A culturally decentred qualitative approach,2012,Psychology of Music,"Boer, Diana",New Zealand,New Zealand,New Zealand,NA,74,31,12.08,36,38,,NA,non-musicians,volunteers,NA,NA,NA,NA,,Chara Steliou,cross-cultural comparison; cultural functions; functions of music; individual functions; music listening; qualitative method; social functions
Positive outcomes following participation in a music intervention for adolescents and young adults on the autism spectrum,2012,Psychology of Music,"Hillier, Ashleigh",USA,USA,NA,Caucasian,22,18,NA,4,18,,NA,non-musicians,volunteers,NA,NA,NA,NA,,Chara Steliou,anxiety; autism spectrum; music intervention; peer relationships; self-esteem
Sight-reading expertise: Cross-modality integration investigated using eye tracking,2012,Psychology of Music,"Drai-Zerbib,Veronique ",France,France,NA,NA,25,NA,NA,NA,NA,,university students; university teachers,musicians,volunteers,NA,Classical,Western,precomposed,,Chara Steliou,cross-modality; expertise; eye movements; psychology of music; sight-reading
Musical activities predispose to involuntary musical imagery,2012,Psychology of Music,"Liikkanen, Lassi A.",Finland; USA,online,Finland,NA,"11,910",27.8,8.4,"8,146","3,764",,NA,non-musicians; musicians,volunteers,NA,NA,NA,NA,,Chara Steliou,everyday music; INMI; involuntary memory; involuntary musical imagery; memory for music; musical imagery
How do “earworms” start? Classifying the everyday circumstances of Involuntary Musical Imagery,2012,Psychology of Music,"Williamson, Victoria J.",UK,UK,NA,NA,"2,424",NA,NA,NA,NA,,NA,NA,volunteers,NA,NA,NA,NA,This study run a feature on BBC morning breakfast show where listeners can contact the presenter to describe their experiences of “earworms. Thus no demographic information is available.,Chara Steliou,affective states; attention states; everyday music listening; involuntary autobiographical/semantic memory (IAM/ISM); involuntary musical imagery (INMI)
How do “earworms” start? Classifying the everyday circumstances of Involuntary Musical Imagery,2012,Psychology of Music,"Williamson, Victoria J.",UK,online,NA,NA,271,36.3,12.13,152,117,,NA,non-musicians,volunteers,NA,NA,NA,NA,,Chara Steliou,affective states; attention states; everyday music listening; involuntary autobiographical/semantic memory (IAM/ISM); involuntary musical imagery (INMI)
"Individual differences in music consumption are predicted by uses of music and age rather than emotional intelligence, neuroticism, extraversion or openness",2012,Psychology of Music,"Chamorro-Premuzic, Tomas",UK,online,UK,European/Caucasian,535,24.2,7.9,170,365,,NA,NA,prize draw,NA,NA,NA,NA,"Ethnicity not reported as White, asian etc",Chara Steliou,Big Five; music consumption; trait emotional intelligence; uses of music
An exploration of musical communication through expressive use of timbre: The performer’s perspective,2012,Psychology of Music,"Holmes, Patricia A.",UK,UK,NA,NA,1,NA,NA,NA,1,,university teacher,musician,volunteer,NA,Classical,Western,NA,,Chara Steliou,communication; motivation; performance; perception; structure; timbre
Epistemic beliefs and self-regulated learning in music students,2012,Psychology of Music,"Nielsen, Siw Graabræk",Norway,Norway,NA,NA,130,20.8,6.3,71,59,,undergraduate students,musicians,volunteers,NA,Classical,Western,NA,,Chara Steliou,advanced music students; epistemic beliefs; higher music education; learning strategies; music practice; self-regulated learning
Eye movements and reading comprehension while listening to preferred and non-preferred study music,2012,Psychology of Music,"Johansson, Roger",Sweden,Sweden,Sweden,NA,24,27.9,7.7,12,12,,university students,NA,cinema ticket,NA,Classical; pop; rock; rap,Western,precomposed,,Chara Steliou,eye movements; music and cognition; music distraction; reading comprehension
"No disadvantage for left-handed musicians: The relationship between handedness, perceived constraints and performance-related skills in string players and pianists",2012,Psychology of Music,"Kopiez, Reinhard",Germany,Germany,NA,NA,47,22.6,3.6,NA,NA,,university students; university teachers,musicians,volunteers,NA,NA,NA,NA,,Chara Steliou,handedness; music performance; pianists; sensorimotor skills; string players
"No disadvantage for left-handed musicians: The relationship between handedness, perceived constraints and performance-related skills in string players and pianists",2012,Psychology of Music,"Kopiez, Reinhard",Germany,Germany,NA,NA,19,23.1,2.4,NA,NA,,university students,musicians,volunteers,NA,NA,NA,NA,,Chara Steliou,handedness; music performance; pianists; sensorimotor skills; string players
"Sensation-seeking, performance genres and substance use among musicians",2012,Psychology of Music,"Miller, Kathleen E.",USA,USA,NA,non-Hispanic White,226,27.7,NA,90,136,,NA,musicians; amateurs musicians,volunteers,NA,NA,NA,NA,,Chara Steliou,alcohol abuse; illicit drug use; musical performance genre dimensions; sensation-seeking; smoking
"Toward a better understanding of the relation between music preference, listening behavior, and personality",2012,Psychology of Music,"Dunn, Peter Gregory",Netherlands,Netherlands,Netherlands,NA,395,36.7,8.93,60,335,,NA,non-musicians; musicians,volunteers,NA,alternative; blues; classical; country; dance; folk; funk; heavy metal; jazz; pop; rap; religious; rock; R&B; soundtracks; and ‘other’ category,Western,precomposed,5 participants did not provide their age; 14 participants did not specify their nationality,Chara Steliou,Big Five; genre; listening behavior; music preferences; personal preferences; personality
An empirical exploration of the zygonic model of expectation in music,2012,Psychology of Music,"Thorpe, Michael",UK,UK,NA,NA,40,34,NA,24,16,,NA,non-musicians,volunteers,NA,short tonal melody,NA,NA,,Chara Steliou,adjacency; anticipation; musical structure; recency
Imagining the music: Methods for assessing musical imagery ability,2012,Psychology of Music,"Clark, Terry",UK,UK;USA,NA,NA,32,22.29,2.2,21,11,,undergraduate and postgraduate students,musicians,volunteers,NA,Classical,Western,precomposed,,Chara Steliou,imagery; mental chronometry; mental skills; music education; performance science
"Instrument, gender and musical style associations in young children",2012,Psychology of Music,"Marchall, Nigel A.",UK,UK,NA,NA,65,NA,NA,32,33,,children age 3-4,non-musicans,volunteers,NA,mixture of various genres,NA,semi-precomposed,,Chara Steliou,early years; gender associations; musical instruments; musical style; stereotypes
"Pitch perception, working memory, and second-language phonological production",2012,Psychology of Music,"Posedel, James",USA,USA,NA,NA,45,18.8,1.12,18,27,,undergraduate students,non-musicans,course credit,NA,NA,NA,NA,,Chara Steliou,language; music perception; music training; phonology; working memory
The sign of silence: Negotiating musical identities in an improvising ensemble,2012,Psychology of Music,"Wilson, Graeme B.",UK,UK,NA,NA,10,NA,NA,2,8,,NA,musicians,volunteers,NA,Jazz,Western,NA,,Chara Steliou,discourse; group; identities; improvising; music
"Emotion, engagement and meaning in strong experiences of music performance",2012,Psychology of Music,"Lamont, Alexandra",UK,UK,NA,White Caucasian,35,20.6,2.8,27,8,,NA,musicians; non-musicians,volunteers,NA,NA,NA,NA,,Chara Steliou,emotions; flow; music performance; positive psychology; wellbeing
Bodily movement and facial actions in expressive musical performance by solo and duo instrumentalists: Two distinctive case studies,2012,Psychology of Music,"Davidson, Jane W.",Australia,Australia,NA,NA,4,NA,NA,4,0,,university students; professional musicians,musicians,volunteers,NA,Contemporary,Western,experimenter-created,,Chara Steliou,body; expression; facial; gesture; performance
Bodily movement and facial actions in expressive musical performance by solo and duo instrumentalists: Two distinctive case studies,2012,Psychology of Music,"Davidson, Jane W.",Australia,Australia,NA,NA,1,NA,NA,1,0,,postgraduate student,musician,volunteers,NA,Classical,Western,precomposed,,Chara Steliou,body; expression; facial; gesture; performance
The reciprocal relationship between jazz musicians and audiences in live performances: A pilot qualitative study,2012,Psychology of Music,"Brand, Gail",UK,UK,NA,NA,7,NA,NA,0,7,,NA,musicians,volunteers,NA,Jazz,Western,NA,,Chara Steliou,audience effects; audience response; jazz; jazz musicians; live performance
The reciprocal relationship between jazz musicians and audiences in live performances: A pilot qualitative study,2012,Psychology of Music,"Brand, Gail",UK,UK,NA,NA,10,NA,NA,3,7,,NA,non-musicians,volunteers,NA,Jazz,Western,NA,,Chara Steliou,audience effects; audience response; jazz; jazz musicians; live performance
The development of practising strategies in young peopl,2012,Psychology of Music,"Hallam, Susan",UK,UK,NA,NA,"3,325",13.4,2.7,"2,027","1,225",,junior conservatoire students,musicians,volunteers,NA,NA,NA,NA,some didn’t indicate sex,Chara Steliou,concentration; development; expertise; motivation; practice
"Do prior experience, gender, or level of study influence music students’ perspectives on master classes?",2012,Psychology of Music,"Long, Marion",UK,UK,NA,NA,351,21.28,2.76,173,177,,undergraduate and postgraduate students,musicians,volunteers,NA,NA,NA,NA,,Chara Steliou,conservatoire curriculum; master classes; postgraduate students; self-regulated learning
Fast and loud background music disrupts reading comprehension,2012,Psychology of Music,"Thompson, William Forde ",Australia,Australia,NA,NA,25,19.7,NA,16,9,,undergraduate students,non-musicians,volunteers,NA,Classical,Western,precomposed,,Chara Steliou,background music; music and cognition; music and reading; reading comprehension
The effect of musical fit on consumers’ preferences between competing alternate petrols,2012,Psychology of Music,"Yeoh, Joanne P.S.",Malaysia,Malaysia,NA,NA,90,24.89,9.54,NA,NA,,university students,non-musicians,volunteers,NA,Children's music; Rock,Western,precomposed,,Chara Steliou,choice; consumers; music; preference
Inside the collaborative inter-arts improvisatory process: Tertiary music students’ perspectives,2012,Psychology of Music,"Blom, Diana",Australia,Australia,NA,NA,17,NA,NA,9,8,,undergraduate students,musicians,volunteers,NA,NA,NA,NA,,Chara Steliou,collaboration; inter-arts; learning; tertiary; transforming existing knowledge; transforming the individual
Music and moral judgment: The effect of background music on the evaluation of ads promoting unethical behavior,2012,Psychology of Music,"Ziv, Naomi",Israel,Israel,NA,NA,62,24.93,3.47,37,19,,undergraduate students,non-musicians,course credit,NA,Classical,Western,precomposed,,Chara Steliou,attitudes; involvement; moral judgment; music; persuasion
Music and moral judgment: The effect of background music on the evaluation of ads promoting unethical behavior,2012,Psychology of Music,"Ziv, Naomi",Israel,Israel,NA,NA,120,25.5,NA,86,34,,NA,NA,NA,NA,Soul,Western,precomposed,,Chara Steliou,attitudes; involvement; moral judgment; music; persuasion
Emotional Connotations of Diatonic Modes ,2013,Music Perception,"Temperley, David",US,US,US,NA,17,NA,NA,9,8,,undergraduate students,non-musicians,paid,NA,European folk melodies,Western,experimenter-created,music created for study in Eastern European folk style but by US-based experimenters,Lizzy,"emotion, modality, scales, happiness, popular music"
The Effect of Timbre and Loudness on Melody Segregation,2013,Music Perception,"Marozeau, Jeremy",Australia,Australia,Australia,NA,37,31; 32.2,7.2; 7.9,20,17,,adults,musicians; non-musicians,volunteer,NA,artificial,Western,experimenter-created,mean/SD ages reported according to groups: musicians; non-musicians,Lizzy,"auditory stream segregation, pychophysics, music training, cochlear implants, hearing impairment"
The Effect of Timbre and Loudness on Melody Segregation,2013,Music Perception,"Marozeau, Jeremy",Australia,Australia,Australia,NA,13,28,4.8,7,6,,NA,musicians; non-musicians,volunteer,NA,artificial,Western,experimenter-created,,Lizzy,"auditory stream segregation, pychophysics, music training, cochlear implants, hearing impairment"
Mental Practice in Music Memorization: An Ecological-Empirical Study,2013,Music Perception,"Francesco Bernardi, Nicolo",Italy,Germany,Germany,NA,16,26,NA,8,8,,right-handed pianists,musicians,volunteer,NA,classical,Western,precomposed,NA,Lizzy,"mental practice, mental imagery, music memorization, music performance, musicians' injuries"
Systematic Distortions in Musicians’ Reproduction of Cyclic Three-Interval Rhythms,2013,Music Perception,"Repp, Bruno",US,US,US,NA,14,NA,NA,6,8,,musicians and rhythm experts,musicians,paid,NA,artificial,Western,experimenter-created,participant age ranges instead of means were reported: 21-66; 23-27,Lizzy,"rhythm production, interval ratios, synchronization, assimilation, attractor"
The Impact of the Bass Drum on Human Dance Movement,2013,Music Perception,"Van Dyck, Edith",Belgium,Belgium,Belgium,NA,100,25.43,8.01,50,50,,adults; normal hearing,musicians; non-musicians,volunteer; paid,NA,club-like electronic,Western,experimenter-created,,Lizzy,"dance, bass drum, activity count, entrainment, joint action"
Facial Mimicry in Response to Song,2013,Music Perception,"Chan, Lisa P.",Canada,Canada,Canada,NA,37,21.6,4.4,37,0,,undergraduate psychology testing pool,musicians,course credit; paid,NA,NA,Western,experimenter-created,"Stimuli consisted of audio-visual recordings of the
model target singing brief lyrical phrases set to a melody and an audible metronome.",Lizzy,"facial mimicry, emotion, song, EMG, facial expressions"
Can Musicians Track Two Different Beats Simultaneously?,2013,Music Perception,"Poudrier, Eve",US,US,US,NA,9,NA,NA,4,5,,"graduate and postgraduate students; regular participants
in synchronization and rhythm perception experiments",musicians,paid,NA,artificial,Western,experimenter-created,NA,Lizzy,"polyrhythm, polymeter, auditory streaming, attention, beat induction"
Can Musicians Track Two Different Beats Simultaneously?,2013,Music Perception,"Poudrier, Eve",US,US,US,NA,10,NA,NA,NA,NA,,8 participants from experiment 1 and two authors,musicians,NA,NA,artificial,Western,experimenter-created,NA,Lizzy,"polyrhythm, polymeter, auditory streaming, attention, beat induction"
Correspondence in Perception of the Tritone Paradox and Perfect-Fifth/Perfect-Fourth Intervals,2013,Music Perception,"Ragozzine, Frank",US,US,US,NA,5,19.4,NA,4,1,,undergraduate students,NA,course credit; paid,NA,artificial,NA,experimenter-created,NA,Lizzy,"tritone paradox, perfect fifth, perfect fourth, proximity, octave related complex"
